ibm_title,ward,district,province,long,lat
Ia Pia,Ia Pia,Chư Prông,Gia Lai,107.92,13.65
Ia Tôr,Ia Tôr,Chư Prông,Gia Lai,107.96,13.73
Thăng Hưng,Thăng Hưng,Chư Prông,Gia Lai,107.9,13.82
Chư Don,Chư Don,Chư Pưh,Gia Lai,108.06,13.54
Ia Blứ,Ia Blứ,Chư Pưh,Gia Lai,108.01,13.45
Ia Vê,Ia Vê,Chư Prông,Gia Lai,107.96,13.62
Ia Hla,Ia Hla,Chư Pưh,Gia Lai,107.99,13.55
Ia Mơ,Ia Mơ,Chư Prông,Gia Lai,107.71,13.46
Ia Dreng,Ia Dreng,Chư Pưh,Gia Lai,108.08,13.6
Ia O,Ia O,Chư Prông,Gia Lai,107.8,13.71
Ia Hrú,Ia Hrú,Chư Pưh,Gia Lai,108.14,13.58
Ia Le,Ia Le,Chư Pưh,Gia Lai,108.15,13.43
Ia Rong,Ia Rong,Chư Pưh,Gia Lai,108.14,13.62
Chư Prông,TT. Chư Prông,Chư Prông,Gia Lai,107.89,13.75
Bar Măih,Bar Măih,Chư Sê,Gia Lai,108.13,13.83
Chư Pơng,Chư Pơng,Chư Sê,Gia Lai,108.04,13.79
Ia Phang,Ia Phang,Chư Pưh,Gia Lai,108.17,13.51
Bờ Ngoong,Bờ Ngoong,Chư Sê,Gia Lai,108.12,13.79
Al Bá,Al Bá,Chư Sê,Gia Lai,108.13,13.75
H Bông,HBông,Chư Sê,Gia Lai,108.22,13.63
Ia Blang,Ia Blang,Chư Sê,Gia Lai,108.08,13.65
Ia Pal,Ia Pal,Chư Sê,Gia Lai,108.12,13.66
Ia Ko,Ia Ko,Chư Sê,Gia Lai,108.02,13.62
Ia HLốp,Ia Hlốp,Chư Sê,Gia Lai,108.04,13.67
Ia Tiêm,Ia Tiêm,Chư Sê,Gia Lai,108.05,13.83
AYun,Ayun,Chư Sê,Gia Lai,108.17,13.7
Dun,Dun,Chư Sê,Gia Lai,108.09,13.72
Nhơn Hoà,TT. Nhơn Hòa,Chư Pưh,Gia Lai,108.11,13.56
Chư Sê,TT. Chư Sê,Chư Sê,Gia Lai,108.07,13.71
Ia Glai,Ia Glai,Chư Sê,Gia Lai,108.02,13.74
A Dơk,A Dơk,Đăk Đoa,Gia Lai,108.09,13.94
Đăk Krong,Đăk Krong,Đăk Đoa,Gia Lai,108.12,14.14
Hnol,HNol,Đăk Đoa,Gia Lai,108.2,13.92
Kông HTok,Kông HTok,Chư Sê,Gia Lai,108.13,13.7
Hà Đông,Hà Đông,Đăk Đoa,Gia Lai,108.26,14.31
Ia Băng,Ia Băng,Đăk Đoa,Gia Lai,108.05,13.89
H'Neng,HNeng,Đăk Đoa,Gia Lai,108.1,14.01
Ia Pết,Ia Pết,Đăk Đoa,Gia Lai,108.11,13.89
Hải Yang,Hải Yang,Đăk Đoa,Gia Lai,108.22,14.12
Nam Yang,Nam Yang,Đăk Đoa,Gia Lai,108.1,14.06
Kon Gang,Kon Gang,Đăk Đoa,Gia Lai,108.15,14.08
Đăk Sơmei,Đăk Sơ Mei,Đăk Đoa,Gia Lai,108.18,14.19
K' Dang,KDang,Đăk Đoa,Gia Lai,108.19,14.01
Hà Bầu,Hà Bầu,Đăk Đoa,Gia Lai,108.07,14.06
Glar,Glar,Đăk Đoa,Gia Lai,108.13,13.94
Tân Bình,Tân Bình,Đăk Đoa,Gia Lai,108.15,13.99
An Thành,An Thành,Đak Pơ,Gia Lai,108.52,13.97
Hà Tam,Hà Tam,Đak Pơ,Gia Lai,108.46,14.0
Trang,Trang,Đăk Đoa,Gia Lai,108.18,13.87
Đak Pơ,TT. Đak Pơ,Đak Pơ,Gia Lai,108.55,13.98
Yang Bắc,Yang Băc,Đak Pơ,Gia Lai,108.55,13.92
Ya Hội,Ya Hội,Đak Pơ,Gia Lai,108.71,13.87
Đăk Đoa,TT. Đăk Đoa,Đăk Đoa,Gia Lai,108.11,13.99
Tân An,Tân An,Đak Pơ,Gia Lai,108.6,13.94
Ia Dom,Ia Dom,Đức Cơ,Gia Lai,107.53,13.81
Ia Dơk,Ia Dơk,Đức Cơ,Gia Lai,107.71,13.87
Ia Krêl,Ia Krêl,Đức Cơ,Gia Lai,107.75,13.84
Ia Kla,Ia Kla,Đức Cơ,Gia Lai,107.65,13.83
Cư An,Cư An,Đak Pơ,Gia Lai,108.61,13.99
Ia Lang,Ia Lang,Đức Cơ,Gia Lai,107.79,13.78
Phú An,Phú An,Đak Pơ,Gia Lai,108.65,13.92
Chư Ty,TT. Chư Ty,Đức Cơ,Gia Lai,107.68,13.8
Ia Pnôn,Ia Pnôn,Đức Cơ,Gia Lai,107.63,13.71
Ia Nan,Ia Nan,Đức Cơ,Gia Lai,107.58,13.72
Ia Din,Ia Din,Đức Cơ,Gia Lai,107.8,13.85
Ia Chia,Ia Chia,Ia Grai,Gia Lai,107.58,13.89
Ia Kriêng,Ia Kriêng,Đức Cơ,Gia Lai,107.72,13.75
Ia Bă,Ia Bă,Ia Grai,Gia Lai,107.81,14.04
Ia O,Ia O,Ia Grai,Gia Lai,107.54,13.95
Ia Grăng,Ia Grăng,Ia Grai,Gia Lai,107.76,14.0
Ia KRai,Ia Krăi,Ia Grai,Gia Lai,107.65,13.97
Ia Hrung,Ia Hrung,Ia Grai,Gia Lai,107.88,14.02
Ia Dêr,Ia Dêr,Ia Grai,Gia Lai,107.94,13.98
Ia Tô,Ia Tô,Ia Grai,Gia Lai,107.75,13.93
Ia Sao,Ia Sao,Ia Grai,Gia Lai,107.94,14.05
Ia Yok,Ia Yok,Ia Grai,Gia Lai,107.9,14.08
Ia Khai,Ia Khai,Ia Grai,Gia Lai,107.67,14.06
Ia Pếch,Ia Pếch,Ia Grai,Gia Lai,107.87,13.92
Chư Mố,Chư Mố,Ia Pa,Gia Lai,108.56,13.51
Ia Broăi,Ia Broăi,Ia Pa,Gia Lai,108.5,13.38
Ia Kha,TT. Ia Kha,Ia Grai,Gia Lai,107.85,13.96
Ia Ma Rơn,Ia Mrơn,Ia Pa,Gia Lai,108.44,13.5
Pờ Tó,Pờ Tó,Ia Pa,Gia Lai,108.38,13.65
Kim Tân,Kim Tân,Ia Pa,Gia Lai,108.45,13.56
Ia Tul,Ia Tul,Ia Pa,Gia Lai,108.63,13.49
Chư Răng,Chư Răng,Ia Pa,Gia Lai,108.43,13.59
Ia Trok,Ia Trok,Ia Pa,Gia Lai,108.45,13.45
Ia KDăm,Ia Kdăm,Ia Pa,Gia Lai,108.51,13.55
Đăk Roong,Đăk Rong,KBang,Gia Lai,108.44,14.48
Đông,Đông,KBang,Gia Lai,108.6,14.12
Đak SMar,Đăk Smar,KBang,Gia Lai,108.6,14.21
Kông Pla,Kông Bla,KBang,Gia Lai,108.61,14.05
Đăk HLơ,Đăk HLơ,KBang,Gia Lai,108.64,14.07
Kông Lơng Khơng,Kông Lơng Khơng,KBang,Gia Lai,108.57,14.05
KRong,Krong,KBang,Gia Lai,108.43,14.27
Sơn Lang,Sơn Lang,KBang,Gia Lai,108.57,14.44
Kon Pne,Kon Pne,KBang,Gia Lai,108.35,14.37
Lơ Ku,Lơ Ku,KBang,Gia Lai,108.5,14.17
Tơ Tung,Tơ Tung,KBang,Gia Lai,108.51,14.07
Sơ Pai,Sơ Pai,KBang,Gia Lai,108.58,14.28
Chơ Long,Chơ Long,Kông Chro,Gia Lai,108.42,13.73
Đắk Kơ Ning,Đăk Kơ Ning,Kông Chro,Gia Lai,108.61,13.67
Nghĩa An,Nghĩa An,KBang,Gia Lai,108.66,14.13
Đăk Tơ Pang,Đăk Tơ Pang,Kông Chro,Gia Lai,108.61,13.82
Kbang,TT. KBang,KBang,Gia Lai,108.6,14.15
Đăk Pling,Đăk PLing,Kông Chro,Gia Lai,108.8,13.69
Đăk Song,Đăk Song,Kông Chro,Gia Lai,108.73,13.64
An Trung,An Trung,Kông Chro,Gia Lai,108.48,13.88
Kông Yang,Kông Yang,Kông Chro,Gia Lai,108.55,13.86
Đăk Pơ Pho,Đăk Pơ Pho,Kông Chro,Gia Lai,108.42,13.81
SRó,SRó,Kông Chro,Gia Lai,108.68,13.74
Chư Krêy,Chư Krêy,Kông Chro,Gia Lai,108.41,13.89
Yang Nam,Yang Nam,Kông Chro,Gia Lai,108.51,13.68
Ya Ma,Ya ma,Kông Chro,Gia Lai,108.57,13.77
Kông Chro,TT. Kông Chro,Kông Chro,Gia Lai,108.53,13.78
Chư Drăng,Chư Drăng,Krông Pa,Gia Lai,108.57,13.17
Chư Ngọc,Chư Ngọc,Krông Pa,Gia Lai,108.77,13.17
Yang Trung,Yang Trung,Kông Chro,Gia Lai,108.49,13.79
Chư Gu,Chư Gu,Krông Pa,Gia Lai,108.66,13.26
Đất Bằng,Đất Bằng,Krông Pa,Gia Lai,108.82,13.28
Chư Rcăm,Chư Rcăm,Krông Pa,Gia Lai,108.72,13.36
Ia RSai,Ia Rsai,Krông Pa,Gia Lai,108.65,13.4
Ia RMok,Ia RMok,Krông Pa,Gia Lai,108.6,13.12
Ia HDreh,Ia Hdreh,Krông Pa,Gia Lai,108.64,13.08
Ia Mláh,Ia Mlah,Krông Pa,Gia Lai,108.76,13.25
Uar,Uar,Krông Pa,Gia Lai,108.53,13.23
Phú Túc,Phú Cần,Krông Pa,Gia Lai,108.7,13.19
Ayun,Ayun,Mang Yang,Gia Lai,108.29,14.15
Ia RSươm,Ia Rsươm,Krông Pa,Gia Lai,108.52,13.3
Phú Túc,TT. Phú Túc,Krông Pa,Gia Lai,108.69,13.21
Đak Ta Ley,Đăk Ta Ley,Mang Yang,Gia Lai,108.34,14.02
Krông Năng,Krông Năng,Krông Pa,Gia Lai,108.69,13.04
Đăk Yă,Đăk Yă,Mang Yang,Gia Lai,108.29,14.03
Đăk Trôi,Đăk Trôi,Mang Yang,Gia Lai,108.23,13.74
Đăk Djrăng,Đăk Djrăng,Mang Yang,Gia Lai,108.24,14.01
Đak Jơ Ta,Đăk Jơ Ta,Mang Yang,Gia Lai,108.34,14.14
Đê Ar,Đê Ar,Mang Yang,Gia Lai,108.21,13.8
Hà Ra,Hra,Mang Yang,Gia Lai,108.4,14.07
Lơ Pang,Lơ Pang,Mang Yang,Gia Lai,108.31,13.93
Kon Chiêng,Kon Chiêng,Mang Yang,Gia Lai,108.32,13.76
Kon Dơng,TT. Kon Dơng,Mang Yang,Gia Lai,108.26,14.04
Kon Thụp,Kon Thụp,Mang Yang,Gia Lai,108.27,13.87
Ia Hiao,Ia Hiao,Phú Thiện,Gia Lai,108.33,13.4
Ayun Hạ,Ayun Hạ,Phú Thiện,Gia Lai,108.25,13.56
Ia Peng,Ia Peng,Phú Thiện,Gia Lai,108.36,13.46
Ia Piar,Ia Piar,Phú Thiện,Gia Lai,108.29,13.44
Chư A Thai,Chư A Thai,Phú Thiện,Gia Lai,108.29,13.6
Ia Ake,Ia Ake,Phú Thiện,Gia Lai,108.27,13.51
Ia Yeng,Ia Yeng,Phú Thiện,Gia Lai,108.4,13.51
Chrôh Pơnan,Chrôh Pơnan,Phú Thiện,Gia Lai,108.37,13.44
Biển Hồ,Biển Hồ,Plei Ku,Gia Lai,108.02,14.03
Phú Thiện,TT. Phú Thiện,Phú Thiện,Gia Lai,108.32,13.53
Phú Thiện,Ia Sol,Phú Thiện,Gia Lai,108.31,13.52
Gào,Gào,Plei Ku,Gia Lai,107.92,13.88
Ia Kring,P. Ia Kring,Plei Ku,Gia Lai,107.98,13.96
Chư HDrông,Chư Hdrông,Plei Ku,Gia Lai,108.02,13.91
Ia Kênh,Ia Kênh,Plei Ku,Gia Lai,107.98,13.91
Ia Kring,P. Hội Phú,Plei Ku,Gia Lai,108.0,13.95
Diên Phú,Diên Phú,Plei Ku,Gia Lai,107.97,13.94
Yên Đỗ,P. Yên Đỗ,Plei Ku,Gia Lai,107.99,13.99
Thống Nhất,P. Thống Nhất,Plei Ku,Gia Lai,108.0,14.0
Cửu An,Cửu An,TX. An Khê,Gia Lai,108.73,14.03
Phù Đổng,P. Phù Đổng,Plei Ku,Gia Lai,108.02,13.98
Trà Đa,Trà Đa,Plei Ku,Gia Lai,108.04,14.01
An Phước,P. An Phước,TX. An Khê,Gia Lai,108.69,14.01
Song An,Song An,TX. An Khê,Gia Lai,108.73,13.97
Ngô Mây,P. Ngô Mây,TX. An Khê,Gia Lai,108.69,13.98
Thắng Lợi,P. Thắng Lợi,Plei Ku,Gia Lai,108.04,13.97
An Bình,P. An Bình,TX. An Khê,Gia Lai,108.65,13.97
Tây Sơn,P. Tây Sơn,TX. An Khê,Gia Lai,108.66,13.95
Xuân An,Tú An,TX. An Khê,Gia Lai,108.68,14.08
An Tân,P. An Tân,TX. An Khê,Gia Lai,108.68,13.97
An Phú,P. An Phú,TX. An Khê,Gia Lai,108.67,13.96
Thành An,Thành An,TX. An Khê,Gia Lai,108.65,14.01
Xuân An,Xuân An,TX. An Khê,Gia Lai,108.7,14.05
Chư Băh,Chư Băh,TX. AYun Pa,Gia Lai,108.37,13.38
Ia RTô,Ia Rtô,TX. AYun Pa,Gia Lai,108.48,13.34
Cheo Reo,P. Đoàn Kết,TX. AYun Pa,Gia Lai,108.42,13.42
Ia RBol,Ia RBol,TX. AYun Pa,Gia Lai,108.4,13.32
Ia Sao,Ia Sao,TX. AYun Pa,Gia Lai,108.44,13.28
Hòa Bình,P. Hoà Bình,TX. AYun Pa,Gia Lai,108.43,13.41
Cuôr Knia,Cuôr KNia,Buôn Đôn,Đắk Lắk,107.97,12.79
Sông Bờ,P. Sông Bờ,TX. AYun Pa,Gia Lai,108.45,13.39
Ea Nuôl,Ea Nuôl,Buôn Đôn,Đắk Lắk,107.94,12.72
Ea Huar,Ea Huar,Buôn Đôn,Đắk Lắk,107.87,12.88
Cư ÊBur,Cư ÊBur,Buôn Ma Thuột,Đắk Lắk,108.01,12.72
Krông Na,Krông Na,Buôn Đôn,Đắk Lắk,107.68,12.93
Ea Wer,Ea Wer,Buôn Đôn,Đắk Lắk,107.87,12.84
Ea Bar,Ea Bar,Buôn Đôn,Đắk Lắk,107.99,12.76
Ea Tu,Ea Tu,Buôn Ma Thuột,Đắk Lắk,108.11,12.71
Ea Kao,Ea Kao,Buôn Ma Thuột,Đắk Lắk,108.05,12.6
Tân Hoà,Tân Hoà,Buôn Đôn,Đắk Lắk,107.91,12.78
Hòa Phú,Hòa Phú,Buôn Ma Thuột,Đắk Lắk,107.94,12.61
Hòa Thắng,Hòa Thắng,Buôn Ma Thuột,Đắk Lắk,108.1,12.66
Hòa Khánh,Hòa Khánh,Buôn Ma Thuột,Đắk Lắk,108.0,12.6
Hòa Xuân,Hòa Xuân,Buôn Ma Thuột,Đắk Lắk,107.95,12.66
Tân An,P. Tân An,Buôn Ma Thuột,Đắk Lắk,108.08,12.72
Khánh Xuân,P. Khánh Xuân,Buôn Ma Thuột,Đắk Lắk,108.0,12.64
Tân Hòa,P. Tân Hòa,Buôn Ma Thuột,Đắk Lắk,108.1,12.69
Tân Lợi,P. Tân Lợi,Buôn Ma Thuột,Đắk Lắk,108.06,12.72
Dray Bhăng,Dray Bhăng,Cư Kuin,Đắk Lắk,108.13,12.55
Tân Thành,P. Tân Thành,Buôn Ma Thuột,Đắk Lắk,108.02,12.67
Thành Công,P. Thành Công,Buôn Ma Thuột,Đắk Lắk,108.04,12.69
Tân Tiến,P. Tân Tiến,Buôn Ma Thuột,Đắk Lắk,108.03,12.68
Tân Lập,P. Tân Lập,Buôn Ma Thuột,Đắk Lắk,108.07,12.68
Thành Nhất,P. Thành Nhất,Buôn Ma Thuột,Đắk Lắk,108.0,12.68
Tân Tiến,P. Thống Nhất,Buôn Ma Thuột,Đắk Lắk,108.04,12.68
Ea Bhốk,Ea BHốk,Cư Kuin,Đắk Lắk,108.19,12.57
Ea Hu,Ea Hu,Cư Kuin,Đắk Lắk,108.24,12.57
Hòa Hiệp,Hòa Hiệp,Cư Kuin,Đắk Lắk,108.2,12.53
Ea Ktur,Ea Ktur,Cư Kuin,Đắk Lắk,108.16,12.63
Ea Ning,Ea Ning,Cư Kuin,Đắk Lắk,108.21,12.62
Cư Dliê M'nông,Cư Dliê M'nông,Cư M'Gar,Đắk Lắk,108.16,12.93
Cư Ê Wi,Cư Ê Wi,Cư Kuin,Đắk Lắk,108.25,12.62
Cư M'Gar,Cư M'gar,Cư M'Gar,Đắk Lắk,108.05,12.84
Cuor Đăng,Cuor Đăng,Cư M'Gar,Đắk Lắk,108.18,12.75
Ea KPam,Ea KPam,Cư M'Gar,Đắk Lắk,108.11,12.87
Ea Tiêu,Ea Tiêu,Cư Kuin,Đắk Lắk,108.1,12.6
Cư Suê,Cư Suê,Cư M'Gar,Đắk Lắk,108.04,12.77
Ea H'đinh,Ea H'đinh,Cư M'Gar,Đắk Lắk,108.05,12.89
Ea Kuêh,Ea Kuêh,Cư M'Gar,Đắk Lắk,108.06,13.01
Ea M'nang,Ea M'nang,Cư M'Gar,Đắk Lắk,107.99,12.82
Ea D'Rơng,Ea D'Rơng,Cư M'Gar,Đắk Lắk,108.16,12.79
Ea Kiết,Ea Kiết,Cư M'Gar,Đắk Lắk,108.0,12.97
Ea Pốk,TT. Ea Pốk,Cư M'Gar,Đắk Lắk,108.08,12.79
Ea M'DRóh,Ea M'DRóh,Cư M'Gar,Đắk Lắk,107.97,12.9
Quảng Phú,Quảng Tiến,Cư M'Gar,Đắk Lắk,108.09,12.82
Ea Tar,Ea Tar,Cư M'Gar,Đắk Lắk,108.1,12.94
Ea Tul,Ea Tul,Cư M'Gar,Đắk Lắk,108.17,12.87
Quảng Hiệp,Quảng Hiệp,Cư M'Gar,Đắk Lắk,107.96,12.85
Dlê Yang,Dlêi Yang,Ea H'Leo,Đắk Lắk,108.26,13.19
Cư Mốt,Cư Mốt,Ea H'Leo,Đắk Lắk,108.11,13.22
Cư A Mung,Cư A Mung,Ea H'Leo,Đắk Lắk,108.02,13.18
Ea Hiao,Ea Hiao,Ea H'Leo,Đắk Lắk,108.37,13.18
Ea H'Leo,Ea H'leo,Ea H'Leo,Đắk Lắk,108.09,13.34
Ea Nam,Ea Nam,Ea H'Leo,Đắk Lắk,108.2,13.14
Ea Drăng,TT. Ea Drăng,Ea H'Leo,Đắk Lắk,108.21,13.21
Ea Ral,Ea Ral,Ea H'Leo,Đắk Lắk,108.18,13.26
Cư Bông,Cư Bông,Ea Kar,Đắk Lắk,108.62,12.63
Roswell,Ea Sol,Ea H'Leo,Đắk Lắk,108.3,13.29
Cư Elang,Cư ELang,Ea Kar,Đắk Lắk,108.54,12.63
Ea Tir,Ea Tir,Ea H'Leo,Đắk Lắk,108.06,13.11
Ea Wy,Ea Wy,Ea H'Leo,Đắk Lắk,108.05,13.24
Ea Khal,Ea Khal,Ea H'Leo,Đắk Lắk,108.15,13.17
Cư Prông,Cư Prông,Ea Kar,Đắk Lắk,108.63,12.74
Cư Huê,Cư Huê,Ea Kar,Đắk Lắk,108.41,12.83
Cư Yang,Cư Jang,Ea Kar,Đắk Lắk,108.65,12.68
Cư Ni,Cư Ni,Ea Kar,Đắk Lắk,108.5,12.76
Ea Sar,Ea Sar,Ea Kar,Đắk Lắk,108.5,12.87
Ea Sô,Ea Sô,Ea Kar,Đắk Lắk,108.59,12.95
Ea Đar,Ea Đar,Ea Kar,Đắk Lắk,108.5,12.81
Ea Kmút,Ea Kmút,Ea Kar,Đắk Lắk,108.45,12.76
Ea Ô,Ea Ô,Ea Kar,Đắk Lắk,108.52,12.69
Ea Knốp,TT. Ea Knốp,Ea Kar,Đắk Lắk,108.54,12.81
Ea Kar,TT. Ea Kar,Ea Kar,Đắk Lắk,108.46,12.83
Xuân Phú,Xuân Phú,Ea Kar,Đắk Lắk,108.45,12.87
Cư KBang,Cư KBang,Ea Súp,Đắk Lắk,107.92,13.18
Ea Păl,Ea Păl,Ea Kar,Đắk Lắk,108.56,12.73
Ea Tih,Ea Tih,Ea Kar,Đắk Lắk,108.58,12.82
Cư M'Lan,Cư M'Lan,Ea Súp,Đắk Lắk,107.87,13.04
Ia Lốp,Ia Lốp,Ea Súp,Đắk Lắk,107.73,13.32
Ia Jlơi,Ia JLơi,Ea Súp,Đắk Lắk,107.86,13.31
Ea Lê,Ea Lê,Ea Súp,Đắk Lắk,107.91,13.12
Ea Bung,Ea Bung,Ea Súp,Đắk Lắk,107.67,13.11
Ea Rốk,Ea Rốki,Ea Súp,Đắk Lắk,107.9,13.24
Bình Hòa,Bình Hòa,Krông Ana,Đắk Lắk,107.99,12.43
Ea Súp,TT. Ea Súp,Ea Súp,Đắk Lắk,107.89,13.07
Băng A Drênh,Băng A Drênh,Krông Ana,Đắk Lắk,108.12,12.5
Ia Rvê,Ia RVê,Ea Súp,Đắk Lắk,107.65,13.22
Dray Sáp,Dray Sáp,Krông Ana,Đắk Lắk,107.96,12.56
Ya Tờ Mốt,Ya Tờ Mốt,Ea Súp,Đắk Lắk,107.76,13.17
Ea Na,Ea Na,Krông Ana,Đắk Lắk,107.99,12.53
Ea Bông,Ea Bông,Krông Ana,Đắk Lắk,108.06,12.53
Buôn Trấp,TT. Buôn Trấp,Krông Ana,Đắk Lắk,108.04,12.49
Dur KMăl,Dur KMăl,Krông Ana,Đắk Lắk,108.12,12.46
Cư KTy,Cư KTy,Krông Bông,Đắk Lắk,108.36,12.56
Dang Kang,Dang Kang,Krông Bông,Đắk Lắk,108.32,12.61
Ea Trul,Ea Trul,Krông Bông,Đắk Lắk,108.26,12.5
Quảng Điền,Quảng Điền,Krông Ana,Đắk Lắk,108.04,12.43
Hòa Lễ,Hòa Lễ,Krông Bông,Đắk Lắk,108.4,12.48
Hòa Tân,Hòa Tân,Krông Bông,Đắk Lắk,108.29,12.54
Cư Pui,Cư Pui,Krông Bông,Đắk Lắk,108.6,12.54
Hòa Sơn,Hòa Sơn,Krông Bông,Đắk Lắk,108.3,12.48
Cư Drăm,Cư Drăm,Krông Bông,Đắk Lắk,108.62,12.49
Yang Mao,Yang Mao,Krông Bông,Đắk Lắk,108.57,12.37
Cư Pui,Hòa Phong,Krông Bông,Đắk Lắk,108.48,12.52
Chư KBô,Chư KBô,Krông Búk,Đắk Lắk,108.25,13.02
Khuê Ngọc Điền,Khuê Ngọc Điền,Krông Bông,Đắk Lắk,108.35,12.49
Hòa Thành,Hòa Thành,Krông Bông,Đắk Lắk,108.29,12.57
Cư Pơng,Cư Pơng,Krông Búk,Đắk Lắk,108.15,13.01
Ea Sin,Ea Sin,Krông Búk,Đắk Lắk,108.16,13.08
Yang Reh,Yang Reh,Krông Bông,Đắk Lắk,108.21,12.5
Ea Ngai,Ea Ngai,Krông Búk,Đắk Lắk,108.21,12.95
ĐLiê Ya,ĐLiê Ya,Krông Năng,Đắk Lắk,108.38,13.09
Cư Né,Cư Né,Krông Búk,Đắk Lắk,108.23,13.08
Krông Kmar,TT. Krông Kmar,Krông Bông,Đắk Lắk,108.33,12.51
Pơng Drang,Pơng Drang,Krông Búk,Đắk Lắk,108.24,12.97
Tân Lập,Tân Lập,Krông Búk,Đắk Lắk,108.28,12.96
Ea Puk,Ea Puk,Krông Năng,Đắk Lắk,108.45,12.97
Ea Tân,Ea Tân,Krông Năng,Đắk Lắk,108.32,13.11
Ea Hồ,Ea Hồ,Krông Năng,Đắk Lắk,108.31,12.97
Phú Lộc,Phú Lộc,Krông Năng,Đắk Lắk,108.35,12.99
Cư Klông,Cư Klông,Krông Năng,Đắk Lắk,108.45,13.09
Ea Sar,Ea Dăh,Krông Năng,Đắk Lắk,108.45,12.92
Phú Xuân,Phú Xuân,Krông Năng,Đắk Lắk,108.38,12.89
Ea Hiu,Ea Hiu,Krông Pắc,Đắk Lắk,108.37,12.68
Ea Tóh,Ea Tóh,Krông Năng,Đắk Lắk,108.32,13.04
Krông Năng,TT. Krông Năng,Krông Năng,Đắk Lắk,108.36,12.94
Ea Kênh,Ea Kênh,Krông Pắc,Đắk Lắk,108.24,12.7
Ea Tam,Ea Tam,Krông Năng,Đắk Lắk,108.44,13.03
Ea KNuec,Ea KNuec,Krông Pắc,Đắk Lắk,108.22,12.69
Ea Kuăng,Ea Kuăng,Krông Pắc,Đắk Lắk,108.39,12.69
Tam Giang,Tam Giang,Krông Năng,Đắk Lắk,108.4,12.97
Hòa Đông,Hòa Đông,Krông Pắc,Đắk Lắk,108.18,12.69
Ea Kly,Ea Kly,Krông Pắc,Đắk Lắk,108.42,12.73
Ea Yiêng,Ea Yiêng,Krông Pắc,Đắk Lắk,108.39,12.58
Hòa An,Hòa An,Krông Pắc,Đắk Lắk,108.33,12.72
Ea Phê,Ea Phê,Krông Pắc,Đắk Lắk,108.35,12.76
Ea Uy,Ea Uy,Krông Pắc,Đắk Lắk,108.39,12.63
Hòa Tiến,Hòa Tiến,Krông Pắc,Đắk Lắk,108.31,12.66
Vụ Bổn,Vụ Bổn,Krông Pắc,Đắk Lắk,108.45,12.62
Ea Yông,Ea Yông,Krông Pắc,Đắk Lắk,108.28,12.7
Phước An,TT. Phước An,Krông Pắc,Đắk Lắk,108.31,12.71
Krông Búk,KRông Búk,Krông Pắc,Đắk Lắk,108.38,12.79
Tân Tiến,Tân Tiến,Krông Pắc,Đắk Lắk,108.34,12.65
Đắk Liêng,Đắk Liêng,Lắk,Đắk Lắk,108.16,12.41
Buôn Triết,Buôn Triết,Lắk,Đắk Lắk,108.05,12.39
Buôn Tría,Buôn Tría,Lắk,Đắk Lắk,108.11,12.39
Đắk Phơi,Đắk Phơi,Lắk,Đắk Lắk,108.25,12.32
Bông Krang,Bông Krang,Lắk,Đắk Lắk,108.35,12.37
