,ward,right-ward,province
263,Dlêi Yang,Dlê Yang, Đắk Lắk
266,Ea H'leo,Ea H'Leo, Đắk Lắk
268,TT. Ea Drăng,Ea Drăng, Đắk Lắk
273,Cư ELang,Cư Elang, Đắk Lắk
274,Cư Jang,Cư Yang, Đắk Lắk
284,TT. Ea Kar,Ea Kar, Đắk Lắk
285,TT. Ea Knốp,Ea Knốp, Đắk Lắk
288,Ea Rốki,Ea Rốk, Đắk Lắk
293,TT. Ea Súp,Ea Súp, Đắk Lắk
294,Ia JLơi,Ia Jlơi, Đắk Lắk
296,Ia RVê,Ia Rvê, Đắk Lắk
304,TT. Buôn Trấp,Buôn Trấp, Đắk Lắk
309,Hòa Phong,Cư Pui, Đắk Lắk
315,TT. Krông Kmar,Krông Kmar, Đắk Lắk
326,Ea Dăh,Ea Sar, Đắk Lắk
337,TT. Krông Năng,Krông Năng, Đắk Lắk
349,KRông Búk,Krông Búk, Đắk Lắk
351,TT. Phước An,Phước An, Đắk Lắk
361,TT. Liên Sơn,Liên Sơn, Đắk Lắk
373,TT. M'Đrắk,M'Đrắk, Đắk Lắk
374,Krông á,KRông Á, Đắk Lắk
382,P. An Bình,An Bình, Đắk Lắk
383,P. An Lạc,An Lạc, Đắk Lắk
384,P. Đạt Hiếu,Đạt Hiếu, Đắk Lắk
385,P. Bình Tân,Bình Tân, Đắk Lắk
386,P. Đoàn Kết,Đoàn Kết, Đắk Lắk
388,Cư Knia,Cư KNia, Đắk Nông
390,TT. Ea T'Ling,Ea T'ling, Đắk Nông
395,Đắk Plao,Quảng Khê, Đắk Nông
397,Quảng Hòa,Quảng Hoà, Đắk Nông
400,Đắk Som,Đắk Plao, Đắk Nông
411,TT. Đắk Mil,Đắk Mil, Đắk Nông
416,Kiến Thành,Kiến Đức, Đắk Nông
422,TT. Kiến Đức,Kiến Đức, Đắk Nông
423,Đắk N'Drung,Đắk N'Dung, Đắk Nông
432,TT. Đức An,Đức An, Đắk Nông
433,Đắk DRô,Đắk Drô, Đắk Nông
440,TT. Đắk Mâm,Đắk Mâm, Đắk Nông
444,Nam Nung,Nâm Nung, Đắk Nông
446,Đắk R'Tih,Đắk R'Tíh, Đắk Nông
449,P. Nghĩa Phú,Nghĩa Phú, Đắk Nông
450,Đắk R'Moan,Đăk R'Moan, Đắk Nông
451,P. Nghĩa Thành,Nghĩa Thành, Đắk Nông
453,P. Nghĩa Đức,Nghĩa Đức, Đắk Nông
454,P. Nghĩa Trung,Nghĩa Trung, Đắk Nông
455,P. Nghĩa Tân,Nghĩa Tân, Đắk Nông
459,Đắk Kroong,Đắk KRoong, Kon Tum
469,TT. Đắk Glei,Đắk Glei, Kon Tum
471,Đắk Ngọk,Đăk Ngọk, Kon Tum
472,Đắk Hring,Đắk HRing, Kon Tum
473,Đắk Long,Đăk Long, Kon Tum
475,Đắk Pxi,Đắk PXi, Kon Tum
478,TT. Đắk Hà,Đắk Hà, Kon Tum
479,Ngọk Wang,Ngok Wang, Kon Tum
480,Ngọk Réo,Ngok Réo, Kon Tum
482,Pô Cô,Pô Kô, Kon Tum
484,TT. Đắk Tô,Đắk Tô, Kon Tum
507,Đắk Tơ Re,Đắk Tờ Re, Kon Tum
508,TT. Đắk Rve,Đắk Rve, Kon Tum
509,Chư H'reng,Chư Hreng, Kon Tum
510,Đắk Năng,Đăk Năng, Kon Tum
519,P. Nguyễn Trãi,Nguyễn Trãi, Kon Tum
520,P. Quyết Thắng,Quyết Thắng, Kon Tum
521,P. Quang Trung,Quang Trung, Kon Tum
522,P. Ngô Mây,Vinh Quang, Kon Tum
523,P. Duy Tân,Duy Tân, Kon Tum
524,P. Lê Lợi,Lê Lợi, Kon Tum
525,P. Trần Hưng Đạo,Trần Hưng Đạo, Kon Tum
526,Vinh Quang,Ngô Mây, Kon Tum
527,P. Thắng Lợi,Thắng Lợi, Kon Tum
528,P. Thống Nhất,Thống Nhất, Kon Tum
529,P. Trường Chinh,Trường Chinh, Kon Tum
533,TT. Plei Cần,Plei Cần, Kon Tum
536,Rờ Kơi,Rơ Kơi, Kon Tum
546,TT. Sa Thầy,Sa Thầy, Kon Tum
553,Đắk Tơ Kan,Đắk Rơ Ông, Kon Tum
554,Ngọk Yêu,Ngok Yêu, Kon Tum
569,Lộc Thanh,Lộc Thành, Lâm Đồng
573,TT. Lộc Thắng,Lộc Ngãi, Lâm Đồng
577,P. 1,Phường 1, Lâm Đồng
579,P. Lộc Tiến,Lộc Tiến, Lâm Đồng
580,P. Lộc Phát,Lộc Phát, Lâm Đồng
586,P. Lộc Sơn,Lộc Sơn, Lâm Đồng
594,TT. Cát Tiên,Cát Tiên, Lâm Đồng
601,TT. Đạ M'ri,Đạ M'ri, Lâm Đồng
603,P. 1,Phường 1, Lâm Đồng
604,TT. Ma Đa Guôi,Ma Đa Guôi, Lâm Đồng
605,P. 10,Phường 10, Lâm Đồng
606,P. 11,Phường 11, Lâm Đồng
607,P. 12,Phường 12, Lâm Đồng
608,P. 3,Phường 3, Lâm Đồng
609,P. 4,Phường 4, Lâm Đồng
610,P. 5,Phường 5, Lâm Đồng
611,P. 7,Phường 7, Lâm Đồng
612,P. 8,Phường 8, Lâm Đồng
615,P. 9,Phường 9, Lâm Đồng
617,Đạ KNàng,Đạ K' Nàng, Lâm Đồng
618,Đa M'Rong,Đạ Long, Lâm Đồng
622,Đạ Long,Đạ M' Rong, Lâm Đồng
623,Liêng S'Roin,Liêng Srônh, Lâm Đồng
625,Đạ R'Sal,Đạ Rsal, Lâm Đồng
639,TT. Đạ Tẻh,Đạ Tẻh, Lâm Đồng
650,TT. Di Linh,Di Linh, Lâm Đồng
660,TT. D'Ran,D'Ran, Lâm Đồng
665,TT. Thạch Mỹ,Thạnh Mỹ, Lâm Đồng
667,Đạ Quyn,Đa Quyn, Lâm Đồng
679,TT. Liên Nghĩa,Liên Nghĩa, Lâm Đồng
681,Da Nhim,Đạ Nhim, Lâm Đồng
686,TT. Lạc Dương,Lạc Dương, Lâm Đồng
701,TT. Nam Ban,Nam Ban, Lâm Đồng
702,TT. Đinh Văn,Đinh Văn, Lâm Đồng
