article_link,headline,posted_at,is_sarcastic
https://thehardtimes.net/music/all-female-punk-band-clearly-just-in-it-for-the-death-threats/,All-Female Punk Band Clearly Just In It for the Death Threats,"17 May, 2021",1
https://thehardtimes.net/culture/90s-doctors-announce-vaccinated-people-can-flip-through-each-others-cd-binders/,‘90s Doctors Announce Vaccinated People Can Flip Through Each Other’s CD Binders,"16 May, 2021",1
https://thehardtimes.net/culture/new-electric-drum-set-comes-pre-covered-in-dust/,New Electric Drum Set Comes Pre-Covered in Dust,"15 May, 2021",1
https://thehardtimes.net/music/study-blink-182s-2005-greatest-hits-album-requires-no-updating/,Study: Blink-182’s 2005 “Greatest Hits” Album Requires No Updating,"14 May, 2021",1
https://thehardtimes.net/culture/tinder-bot-refuses-to-spam-anyone-under-six-feet/,Tinder Bot Refuses To Spam Anyone Under Six Feet,"13 May, 2021",1
https://thehardtimes.net/music/mars-volta-fan-pretty-sure-he-can-sell-enough-lsd-to-afford-reunion-box-set/,Mars Volta Fan Pretty Sure He Can Sell Enough LSD to Afford Reunion Box Set,"25 April, 2021",1
https://thehardtimes.net/blog/we-finally-found-out-what-the-all-american-rejects-dirty-little-secret-was-and-turns-out-its-mostly-tax-stuff/,We Finally Found Out What the All-American Rejects’ Dirty Little Secret Was and Turns Out It’s Mostly Tax Stuff,"24 April, 2021",1
https://thehardtimes.net/music/billy-corgan-wakes-up-makes-coffee-settles-in-for-another-day-of-writing-5-star-smashing-pumpkins-album-reviews-on-amazon/,"Billy Corgan Wakes Up, Makes Coffee, Settles In for Another Day of Writing 5-Star Smashing Pumpkins Album Reviews on Amazon","24 April, 2021",1
https://thehardtimes.net/culture/28-year-old-just-getting-into-skateboarding-highly-overestimating-its-sex-appeal/,28-Year-Old Just Getting Into Skateboarding Highly Overestimating Its Sex Appeal,"23 April, 2021",1
https://thehardtimes.net/culture/punk-cousin-unaware-hes-familys-cautionary-tale/,Punk Cousin Unaware He’s Family’s Cautionary Tale,"23 April, 2021",1
https://thehardtimes.net/culture/sleep-paralysis-demon-scared-off-by-buckcherry-poster/,Sleep Paralysis Demon Scared off by Buckcherry Poster,"22 April, 2021",1
https://thehardtimes.net/culture/cdc-announces-bass-players-will-be-eligible-for-vaccine-in-late-2036/,CDC Announces Bass Players Will be Eligible for Vaccine in Late 2036,"22 April, 2021",1
https://thehardtimes.net/culture/cat-tree-most-expensive-piece-of-furniture-in-punks-apartment/,Cat Tree Most Expensive Piece of Furniture in Punk’s Apartment,"21 April, 2021",1
https://thehardtimes.net/blog/we-spoke-with-rivers-cuomo-about-what-its-like-to-be-a-teen-growing-up-in-2021/,We Spoke With Rivers Cuomo About What It’s Like To Be a Teen Growing Up in 2021,"21 April, 2021",1
https://thehardtimes.net/culture/ailing-ted-nugent-summons-kid-rock-to-his-chambers/,Ailing Ted Nugent Summons Kid Rock to His Chambers,"21 April, 2021",1
https://thehardtimes.net/music/bassist-told-to-stay-home-to-comply-with-33-capacity-ruling/,Bassist Told to Stay Home to Comply With 33% Capacity Ruling,"19 April, 2021",1
https://thehardtimes.net/culture/newly-dissolved-metal-band-argue-over-custody-of-20-foot-tall-animatronic-goat-demon/,Newly Dissolved Metal Band Argue Over Custody of 20-Foot-Tall Animatronic Goat Demon,"18 April, 2021",1
https://thehardtimes.net/culture/gorillaz-cartoon-bassist-overdoses-on-cartoon-heroin/,Gorillaz’ Cartoon Bassist Overdoses on Cartoon Heroin,"17 April, 2021",1
https://thehardtimes.net/opinion/opinion-every-bands-best-album-is-the-one-i-heard-first/,Opinion: Every Band’s Best Album Is the One I Heard First,"16 April, 2021",1
https://thehardtimes.net/culture/pop-punk-diocese-transfers-frontman-to-new-band/,Pop-Punk Diocese Transfers Frontman to New Band,"16 April, 2021",1
https://thehardtimes.net/culture/metalhead-in-corpse-paint-sick-of-being-mistaken-for-goth-in-crow-makeup/,Metalhead in Corpse Paint Sick of Being Mistaken for Goth in Crow Makeup,"15 April, 2021",1
https://thehardtimes.net/music/bands-only-popular-song-ironic-cover/,Band’s Only Popular Song Ironic Cover,"14 April, 2021",1
https://thehardtimes.net/music/that-sucks-metal-band-the-singing-kind-not-the-screaming-kind/,That Sucks: Metal Band the Singing Kind Not the Screaming Kind,"13 April, 2021",1
https://thehardtimes.net/music/punk-hardcore/punk-time-travelers-arrive-four-hours-late-to-kill-hitler/,Punk Time Travelers Arrive Four Hours Late to Kill Hitler,"13 April, 2021",1
https://thehardtimes.net/music/still-got-it-says-bassist-remembering-how-to-play-incorrect-version-of-schism-riff/,“Still Got It” Says Bassist Remembering How to Play Incorrect Version of ‘Schism’ Riff,"12 April, 2021",1
https://thehardtimes.net/music/hundreds-of-metalcore-bands-scatter-when-attendant-shines-flashlight-into-abandoned-industrial-building/,Hundreds of Metalcore Bands Scatter When Attendant Shines Flashlight Into Abandoned Industrial Building,"11 April, 2021",1
https://thehardtimes.net/music/punk-is-going-to-have-to-settle-on-pixies-fan-as-work-friend/,Punk Is Going to Have to Settle on Pixies Fan As Work Friend,"11 April, 2021",1
https://thehardtimes.net/music/cdc-expands-vaccine-eligibility-to-people-who-currently-relate-to-any-menzingers-album/,CDC Expands Vaccine Eligibility to People Who Currently Relate to Any Menzingers Album,"10 April, 2021",1
https://thehardtimes.net/music/dmx-funeral-to-include-21-bark-salute/,DMX Funeral To Include 21-Bark Salute,"9 April, 2021",1
https://thehardtimes.net/music/new-nine-inch-nails-lineup-just-trent-reznor-and-four-guys-from-taskrabbit/,New Nine Inch Nails Lineup Just Trent Reznor and Four Guys From TaskRabbit,"9 April, 2021",1
https://thehardtimes.net/blog/the-definitive-ranking-of-every-brick-wall-the-ramones-stood-in-front-of/,The Definitive Ranking of Every Brick Wall the Ramones Stood in Front Of,"9 April, 2021",1
https://thehardtimes.net/music/study-finds-librarian-saying-shh-directly-to-camera-still-most-effective-music-video-element-for-conveying-pop-punk-bands-distaste-for-authority/,Study Finds Librarian Saying “Shh” Directly to Camera Still Most Effective Music Video Element for Conveying Pop-Punk Bands’ Distaste for Authority,"9 April, 2021",1
https://thehardtimes.net/culture/vaccine-topic-artfully-avoided-in-conversation-with-friend-from-back-home/,Vaccine Topic Artfully Avoided in Conversation With Friend From Back Home,"8 April, 2021",1
https://thehardtimes.net/music/jazz-drummer-holds-fork-like-that-too/,Jazz Drummer Holds Fork Like That Too,"8 April, 2021",1
https://thehardtimes.net/music/sludge-band-would-be-death-metal-if-they-werent-so-goddamn-tired-all-the-time/,Sludge Band Would Be Death Metal If They Weren’t so Goddamn Tired All the Time,"7 April, 2021",1
https://thehardtimes.net/blog/we-finally-found-out-what-the-all-american-rejects-dirty-little-secret-was-and-turns-out-its-mostly-tax-stuff/,We Finally Found Out What the All-American Rejects’ Dirty Little Secret Was and Turns Out It’s Mostly Tax Stuff,"24 April, 2021",1
https://thehardtimes.net/music/billy-corgan-wakes-up-makes-coffee-settles-in-for-another-day-of-writing-5-star-smashing-pumpkins-album-reviews-on-amazon/,"Billy Corgan Wakes Up, Makes Coffee, Settles In for Another Day of Writing 5-Star Smashing Pumpkins Album Reviews on Amazon","24 April, 2021",1
https://thehardtimes.net/culture/28-year-old-just-getting-into-skateboarding-highly-overestimating-its-sex-appeal/,28-Year-Old Just Getting Into Skateboarding Highly Overestimating Its Sex Appeal,"23 April, 2021",1
https://thehardtimes.net/culture/punk-cousin-unaware-hes-familys-cautionary-tale/,Punk Cousin Unaware He’s Family’s Cautionary Tale,"23 April, 2021",1
https://thehardtimes.net/culture/sleep-paralysis-demon-scared-off-by-buckcherry-poster/,Sleep Paralysis Demon Scared off by Buckcherry Poster,"22 April, 2021",1
https://thehardtimes.net/culture/cdc-announces-bass-players-will-be-eligible-for-vaccine-in-late-2036/,CDC Announces Bass Players Will be Eligible for Vaccine in Late 2036,"22 April, 2021",1
https://thehardtimes.net/culture/cat-tree-most-expensive-piece-of-furniture-in-punks-apartment/,Cat Tree Most Expensive Piece of Furniture in Punk’s Apartment,"21 April, 2021",1
https://thehardtimes.net/blog/we-spoke-with-rivers-cuomo-about-what-its-like-to-be-a-teen-growing-up-in-2021/,We Spoke With Rivers Cuomo About What It’s Like To Be a Teen Growing Up in 2021,"21 April, 2021",1
https://thehardtimes.net/culture/ailing-ted-nugent-summons-kid-rock-to-his-chambers/,Ailing Ted Nugent Summons Kid Rock to His Chambers,"21 April, 2021",1
https://thehardtimes.net/music/bassist-told-to-stay-home-to-comply-with-33-capacity-ruling/,Bassist Told to Stay Home to Comply With 33% Capacity Ruling,"19 April, 2021",1
https://thehardtimes.net/culture/newly-dissolved-metal-band-argue-over-custody-of-20-foot-tall-animatronic-goat-demon/,Newly Dissolved Metal Band Argue Over Custody of 20-Foot-Tall Animatronic Goat Demon,"18 April, 2021",1
https://thehardtimes.net/culture/gorillaz-cartoon-bassist-overdoses-on-cartoon-heroin/,Gorillaz’ Cartoon Bassist Overdoses on Cartoon Heroin,"17 April, 2021",1
https://thehardtimes.net/opinion/opinion-every-bands-best-album-is-the-one-i-heard-first/,Opinion: Every Band’s Best Album Is the One I Heard First,"16 April, 2021",1
https://thehardtimes.net/culture/pop-punk-diocese-transfers-frontman-to-new-band/,Pop-Punk Diocese Transfers Frontman to New Band,"16 April, 2021",1
https://thehardtimes.net/culture/metalhead-in-corpse-paint-sick-of-being-mistaken-for-goth-in-crow-makeup/,Metalhead in Corpse Paint Sick of Being Mistaken for Goth in Crow Makeup,"15 April, 2021",1
https://thehardtimes.net/opinion/opinion-every-bands-best-album-is-the-one-i-heard-first/,Opinion: Every Band’s Best Album Is the One I Heard First,"16 April, 2021",1
https://thehardtimes.net/culture/pop-punk-diocese-transfers-frontman-to-new-band/,Pop-Punk Diocese Transfers Frontman to New Band,"16 April, 2021",1
https://thehardtimes.net/culture/metalhead-in-corpse-paint-sick-of-being-mistaken-for-goth-in-crow-makeup/,Metalhead in Corpse Paint Sick of Being Mistaken for Goth in Crow Makeup,"15 April, 2021",1
https://thehardtimes.net/music/bands-only-popular-song-ironic-cover/,Band’s Only Popular Song Ironic Cover,"14 April, 2021",1
https://thehardtimes.net/music/that-sucks-metal-band-the-singing-kind-not-the-screaming-kind/,That Sucks: Metal Band the Singing Kind Not the Screaming Kind,"13 April, 2021",1
https://thehardtimes.net/music/punk-hardcore/punk-time-travelers-arrive-four-hours-late-to-kill-hitler/,Punk Time Travelers Arrive Four Hours Late to Kill Hitler,"13 April, 2021",1
https://thehardtimes.net/music/still-got-it-says-bassist-remembering-how-to-play-incorrect-version-of-schism-riff/,“Still Got It” Says Bassist Remembering How to Play Incorrect Version of ‘Schism’ Riff,"12 April, 2021",1
https://thehardtimes.net/music/hundreds-of-metalcore-bands-scatter-when-attendant-shines-flashlight-into-abandoned-industrial-building/,Hundreds of Metalcore Bands Scatter When Attendant Shines Flashlight Into Abandoned Industrial Building,"11 April, 2021",1
https://thehardtimes.net/music/punk-is-going-to-have-to-settle-on-pixies-fan-as-work-friend/,Punk Is Going to Have to Settle on Pixies Fan As Work Friend,"11 April, 2021",1
https://thehardtimes.net/music/cdc-expands-vaccine-eligibility-to-people-who-currently-relate-to-any-menzingers-album/,CDC Expands Vaccine Eligibility to People Who Currently Relate to Any Menzingers Album,"10 April, 2021",1
https://thehardtimes.net/music/dmx-funeral-to-include-21-bark-salute/,DMX Funeral To Include 21-Bark Salute,"9 April, 2021",1
https://thehardtimes.net/music/new-nine-inch-nails-lineup-just-trent-reznor-and-four-guys-from-taskrabbit/,New Nine Inch Nails Lineup Just Trent Reznor and Four Guys From TaskRabbit,"9 April, 2021",1
https://thehardtimes.net/blog/the-definitive-ranking-of-every-brick-wall-the-ramones-stood-in-front-of/,The Definitive Ranking of Every Brick Wall the Ramones Stood in Front Of,"9 April, 2021",1
https://thehardtimes.net/music/study-finds-librarian-saying-shh-directly-to-camera-still-most-effective-music-video-element-for-conveying-pop-punk-bands-distaste-for-authority/,Study Finds Librarian Saying “Shh” Directly to Camera Still Most Effective Music Video Element for Conveying Pop-Punk Bands’ Distaste for Authority,"9 April, 2021",1
https://thehardtimes.net/culture/vaccine-topic-artfully-avoided-in-conversation-with-friend-from-back-home/,Vaccine Topic Artfully Avoided in Conversation With Friend From Back Home,"8 April, 2021",1
https://thehardtimes.net/music/sound-guys-ponytail-used-to-tour-with-sabbath/,Sound Guy’s Ponytail Used to Tour With Sabbath,"5 April, 2021",1
https://thehardtimes.net/culture/shipwrecks-down-300-after-sirens-get-really-into-nu-metal/,Shipwrecks Down 300% After Sirens Get Really into Nu Metal,"3 April, 2021",1
https://thehardtimes.net/culture/nike-suing-lil-nas-x-for-claiming-their-shoes-only-contain-one-drop-of-human-blood/,Nike Suing Lil Nas X For Claiming Their Shoes Only Contain One Drop of Human Blood,"3 April, 2021",1
https://thehardtimes.net/music/local-band-sets-up-merch-table-outside-mass-vaccination-site/,Local Band Sets Up Merch Table Outside Mass Vaccination Site,"3 April, 2021",1
https://thehardtimes.net/culture/ominous-record-store-employee-warns-not-to-listen-to-mogwai-album-after-midnight/,Ominous Record Store Employee Warns Not to Listen to Mogwai Album After Midnight,"1 April, 2021",1
https://thehardtimes.net/blog/we-sat-down-with-dire-straits-so-ill-have-something-to-talk-to-my-dad-about-before-i-ask-him-for-money/,We Sat Down With Dire Straits So I’ll Have Something To Talk To My Dad About Before I Ask Him for Money,"31 March, 2021",1
https://thehardtimes.net/music/pearl-jam-fan-devastated-to-find-out-shes-been-listening-to-stone-temple-pilots-this-whole-time/,Pearl Jam Fan Devastated to Find Out She’s Been Listening to Stone Temple Pilots This Whole Time,"31 March, 2021",1
https://thehardtimes.net/culture/facebook-content-flagging-feature-prevents-grindcore-fan-from-ever-posting-their-favorite-bands/,Facebook Content Flagging Feature Prevents Grindcore Fan From Ever Posting Their Favorite Bands,"29 March, 2021",1
https://thehardtimes.net/music/hot-guy-playing-bass-must-really-suck-at-singing/,Hot Guy Playing Bass Must Really Suck at Singing,"28 March, 2021",1
https://thehardtimes.net/blog/we-sat-down-with-ted-nugent-because-he-thought-we-were-15/,We Sat Down With Ted Nugent Because He Thought We Were 15,"27 March, 2021",1
https://thehardtimes.net/culture/punk-bassist-works-up-courage-to-ask-what-other-two-strings-are-for/,Punk Bassist Works Up Courage to Ask What Other Two Strings Are For,"27 March, 2021",1
https://thehardtimes.net/culture/punk-starting-to-regret-using-one-of-three-wishes-to-bring-gg-allin-back-to-life/,Punk Starting to Regret Using One of Three Wishes to Bring GG Allin Back to Life,"26 March, 2021",1
https://thehardtimes.net/culture/quarantined-pantera-fan-running-out-of-drywall-to-punch/,Quarantined Pantera Fan Running Out of Drywall to Punch,"24 March, 2021",1
https://thehardtimes.net/blog/we-sat-down-with-the-singer-of-everclears-father-and-his-story-is-way-different/,We Sat Down With the Singer of Everclear’s Father and His Story Is Way Different,"24 March, 2021",1
https://thehardtimes.net/music/its-a-boy-shouts-couple-getting-pummeled-by-blue-albums-at-weezer-themed-gender-reveal-party/,“It’s a Boy!” Shouts Couple Getting Pummeled by Blue Albums at Weezer-Themed Gender Reveal Party,"24 March, 2021",1
https://thehardtimes.net/blog/we-sat-down-with-the-singer-of-everclears-father-and-his-story-is-way-different/,We Sat Down With the Singer of Everclear’s Father and His Story Is Way Different,"24 March, 2021",1
https://thehardtimes.net/music/its-a-boy-shouts-couple-getting-pummeled-by-blue-albums-at-weezer-themed-gender-reveal-party/,“It’s a Boy!” Shouts Couple Getting Pummeled by Blue Albums at Weezer-Themed Gender Reveal Party,"24 March, 2021",1
https://thehardtimes.net/culture/okilly-dokilly-guitarist-skeptical-homer-themed-metal-band-will-return-borrowed-gear/,Okilly Dokilly Guitarist Skeptical Homer-Themed Metal Band Will Return Borrowed Gear,"21 March, 2021",1
https://thehardtimes.net/culture/nations-musicians-who-just-prefer-asian-women-suddenly-at-loss-for-words/,Nation’s Musicians Who “Just Prefer” Asian Women Suddenly at Loss for Words,"20 March, 2021",1
https://thehardtimes.net/music/isolated-tribe-just-learning-about-dimebag-darrells-death/,Isolated Tribe Just Learning About Dimebag Darrell’s Death,"19 March, 2021",1
https://thehardtimes.net/culture/report-everyone-still-secretly-listening-to-canceled-artist/,Report: Everyone Still Secretly Listening to Canceled Artist,"18 March, 2021",1
https://thehardtimes.net/opinion/opinion-if-dropkick-murphy-sees-his-shadow-that-means-6-more-weeks-of-drinking/,"Opinion: If Dropkick Murphy Sees His Shadow, That Means 6 More Weeks of Drinking","17 March, 2021",1
https://thehardtimes.net/blog/we-sat-down-with-first-wave-emo-pioneer-tom-from-myspace/,We Sat Down With First Wave Emo Pioneer Tom From Myspace,"16 March, 2021",1
https://thehardtimes.net/culture/nu-metal-band-struggles-to-find-butthole-pun-good-enough-to-use-as-album-title/,Nü-Metal Band Struggles to Find Butthole Pun Good Enough to Use as Album Title,"15 March, 2021",1
https://thehardtimes.net/opinion/opinion-all-these-tables-need-to-move-against-that-wall/,Opinion: All These Tables Need to Move Against That Wall,"15 March, 2021",1
https://thehardtimes.net/culture/pantera-fan-uses-intellectual-as-slur/,Pantera Fan Uses “Intellectual” As Slur,"13 March, 2021",1
https://thehardtimes.net/opinion/opinion-music-throughout-history-on-a-global-scale-peaked-when-i-was-13-17-years-old/,"Opinion: Music Throughout History, on a Global Scale, Peaked When I Was 13-17 Years Old","13 March, 2021",1
https://thehardtimes.net/culture/punk-who-got-in-shape-somehow-looks-worse/,Punk Who Got in Shape Somehow Looks Worse,"13 March, 2021",1
https://thehardtimes.net/opinion/sometimes-i-worry-that-the-emptiness-i-feel-cant-be-filled-with-kiss-memorabilia/,Sometimes I Worry That the Emptiness I Feel Can’t Be Filled With KISS Memorabilia,"12 March, 2021",1
https://thehardtimes.net/culture/aarp-magazine-now-comes-with-punk-o-rama-sampler-cd/,AARP Magazine Now Comes With “Punk-O-Rama” Sampler CD,"12 March, 2021",1
https://thehardtimes.net/opinion/opinion-music-throughout-history-on-a-global-scale-peaked-when-i-was-13-17-years-old/,"Opinion: Music Throughout History, on a Global Scale, Peaked When I Was 13-17 Years Old","13 March, 2021",1
https://thehardtimes.net/culture/punk-who-got-in-shape-somehow-looks-worse/,Punk Who Got in Shape Somehow Looks Worse,"13 March, 2021",1
https://thehardtimes.net/opinion/sometimes-i-worry-that-the-emptiness-i-feel-cant-be-filled-with-kiss-memorabilia/,Sometimes I Worry That the Emptiness I Feel Can’t Be Filled With KISS Memorabilia,"12 March, 2021",1
https://thehardtimes.net/culture/aarp-magazine-now-comes-with-punk-o-rama-sampler-cd/,AARP Magazine Now Comes With “Punk-O-Rama” Sampler CD,"12 March, 2021",1
https://thehardtimes.net/culture/local-scene-rallies-in-support-for-merch-guy-who-fell-down-a-well/,Local Scene Rallies in Support for Merch Guy Who Fell Down a Well,"11 March, 2021",1
https://thehardtimes.net/culture/adorable-music-festival-thinks-its-happening-in-2021/,Adorable Music Festival Thinks It’s Happening in 2021,"10 March, 2021",1
https://thehardtimes.net/culture/pregnant-311-fan-already-wasted-all-her-favorite-names-on-bongs/,Pregnant 311 Fan Already Wasted All Her Favorite Names on Bongs,"9 March, 2021",1
https://thehardtimes.net/culture/punk-band-finally-finishes-anti-trump-album/,Punk Band Finally Finishes Anti-Trump Album,"8 March, 2021",1
https://thehardtimes.net/culture/punk-dog-offers-to-fetch-your-slippers-for-a-cigarette/,Punk Dog Offers to Fetch Your Slippers for a Cigarette,"7 March, 2021",1
https://thehardtimes.net/culture/woman-who-helped-punk-get-clean-hated-by-all-his-friends/,Woman Who Helped Punk Get Clean Hated by All His Friends,"6 March, 2021",1
https://thehardtimes.net/music/dave-mustaine-judy-blume-co-write-young-adult-novel-are-you-there-me-its-me-again/,Dave Mustaine & Judy Blume Co-Write Young Adult Novel “Are You There Me? It’s Me Again”,"5 March, 2021",1
https://thehardtimes.net/culture/nsa-agent-braces-self-as-woman-types-semicharmedlife-lyrics-in-youtube-for-ninth-time-today/,NSA Agent Braces Self as Woman Types “semicharmedlife lyrics” in YouTube for Ninth Time Today,"4 March, 2021",1
https://thehardtimes.net/culture/coheed-cambria-tattoo-mistaken-for-deathly-hallows-tattoo-results-in-same-judgement/,Coheed & Cambria Tattoo Mistaken for “Deathly Hallows” Tattoo Results in Same Judgement,"3 March, 2021",1
https://thehardtimes.net/blog/5-bands-you-must-listen-to-if-you-want-to-see-your-family-alive-again/,5 Bands You Must Listen to if You Want to See Your Family Alive Again,"2 March, 2021",1
https://thehardtimes.net/music/hospice-patient-plays-dead-after-spotting-bono-in-hallway/,Hospice Patient Plays Dead After Spotting Bono in Hallway,"1 March, 2021",1
https://thehardtimes.net/culture/doctors-use-dental-records-to-identify-body-of-alive-and-well-keith-richards/,Doctors Use Dental Records to Identify Body of Alive and Well Keith Richards,"28 February, 2021",1
https://thehardtimes.net/culture/hardcore-scene-rebrands-as-running-group/,Hardcore Scene Rebrands as Running Group,"27 February, 2021",1
https://thehardtimes.net/music/new-nofx-album-to-be-given-to-younger-brother-eventually/,New NOFX Album To Be Given To Younger Brother Eventually,"26 February, 2021",1
https://thehardtimes.net/culture/venue-owner-just-remembered-they-left-sound-guy-locked-in-prior-to-pandemic/,Venue Owner Just Remembered They Left Sound Guy Locked In Prior to Pandemic,"25 February, 2021",1
https://thehardtimes.net/opinion/back-in-my-day-only-punks-with-rich-parents-lived-in-poverty/,Back in My Day Only Punks With Rich Parents Lived in Poverty,"24 February, 2021",1
https://thehardtimes.net/music/parents-sneakily-replace-childs-dead-goldfish-with-matt-skiba/,Parents Sneakily Replace Child’s Dead Goldfish With Matt Skiba,"24 February, 2021",1
https://thehardtimes.net/music/sexual-tension-between-man-and-acoustic-guitar-through-the-roof/,Sexual Tension Between Man and Acoustic Guitar Through the Roof,"22 February, 2021",1
https://thehardtimes.net/culture/metalhead-attorney-cites-roth-v-hagar/,Metalhead Attorney Cites Roth v. Hagar,"21 February, 2021",1
https://thehardtimes.net/culture/friends-assume-musician-made-living-from-music-before-pandemic/,Friends Assume Musician Made Living from Music Before Pandemic,"21 February, 2021",1
https://thehardtimes.net/opinion/opinion-the-dead-kennedys-are-a-massively-underrated-shirt/,Opinion: The Dead Kennedys Are a Massively Underrated Shirt,"19 February, 2021",1
https://thehardtimes.net/culture/nardwuar-almost-done-offloading-his-scratched-unplayable-records-to-celebrities/,"Nardwuar Almost Done Offloading His Scratched, Unplayable Records to Celebrities","19 February, 2021",1
https://thehardtimes.net/culture/report-trapt-holding-tryouts-for-racist-with-drumming-experience/,Report: Trapt Holding Tryouts for Racist With Drumming Experience,"18 February, 2021",1
https://thehardtimes.net/music/technically-proficient-guitarist-completely-inept-in-every-other-aspect-of-songwriting/,Technically Proficient Guitarist Completely Inept in Every Other Aspect of Songwriting,"17 February, 2021",1
https://thehardtimes.net/culture/jean-jacket-doubling-as-winter-coat-tripling-as-personality/,"Jean Jacket Doubling As Winter Coat, Tripling As Personality","17 February, 2021",1
