date,province,max_temp,min_temp,wx,precip
03/11/2020,Gia Lai,28,24,Mostly Cloudy,0.43
04/11/2020,Gia Lai,28,23,Mostly Cloudy,0.45
05/11/2020,Gia Lai,30,24,Mostly Cloudy,4.95
06/11/2020,Gia Lai,29,25,Mostly Cloudy,6.42
07/11/2020,Gia Lai,28,25,Mostly Cloudy,6.52
08/11/2020,Gia Lai,28,24,Mostly Cloudy,6.52
09/11/2020,Gia Lai,26,23,Mostly Cloudy,14.7
10/11/2020,Gia Lai,26,24,Mostly Cloudy,39.36
11/11/2020,Gia Lai,28,25,Mostly Cloudy,39.62
12/11/2020,Gia Lai,27,25,Mostly Cloudy,39.92
13/11/2020,Gia Lai,27,23,Mostly Cloudy,39.92
14/11/2020,Gia Lai,30,24,Mostly Cloudy,39.92
15/11/2020,Gia Lai,29,25,Mostly Cloudy,39.92
16/11/2020,Gia Lai,30,25,Mostly Cloudy,39.92
17/11/2020,Gia Lai,28,25,Mostly Cloudy,39.92
18/11/2020,Gia Lai,30,24,Mostly Cloudy,39.92
19/11/2020,Gia Lai,30,24,Mostly Cloudy,39.92
20/11/2020,Gia Lai,30,24,Mostly Cloudy,39.92
21/11/2020,Gia Lai,31,24,Mostly Cloudy,39.92
22/11/2020,Gia Lai,29,25,Mostly Cloudy,39.92
23/11/2020,Gia Lai,28,25,Mostly Cloudy,39.92
24/11/2020,Gia Lai,28,25,Mostly Cloudy,39.95
25/11/2020,Gia Lai,28,25,Mostly Cloudy,39.95
26/11/2020,Gia Lai,28,25,Mostly Cloudy,39.95
27/11/2020,Gia Lai,28,25,Mostly Cloudy,39.97
28/11/2020,Gia Lai,26,24,Mostly Cloudy,40.94
29/11/2020,Gia Lai,26,25,Mostly Cloudy,43.4
30/11/2020,Gia Lai,26,24,Mostly Cloudy,45.84
01/10/2020,Gia Lai,33,26,Mostly Cloudy,0.0
02/10/2020,Gia Lai,32,26,Mostly Cloudy,0.0
03/10/2020,Gia Lai,32,26,Mostly Cloudy,0.0
04/10/2020,Gia Lai,32,26,Mostly Cloudy,0.0
05/10/2020,Gia Lai,31,26,Mostly Cloudy,0.17
06/10/2020,Gia Lai,30,25,Mostly Cloudy,1.57
07/10/2020,Gia Lai,28,25,Mostly Cloudy,6.35
08/10/2020,Gia Lai,30,26,Mostly Cloudy,8.35
09/10/2020,Gia Lai,29,25,Mostly Cloudy,10.16
10/10/2020,Gia Lai,29,25,Mostly Cloudy,13.84
11/10/2020,Gia Lai,31,25,Mostly Cloudy,15.36
12/10/2020,Gia Lai,31,25,Mostly Cloudy,15.36
13/10/2020,Gia Lai,32,25,Mostly Cloudy,15.39
14/10/2020,Gia Lai,30,25,Mostly Cloudy,15.59
15/10/2020,Gia Lai,32,25,Mostly Cloudy,15.95
16/10/2020,Gia Lai,32,25,Mostly Cloudy,17.22
17/10/2020,Gia Lai,29,25,Mostly Cloudy,25.14
18/10/2020,Gia Lai,30,26,Mostly Cloudy,27.48
19/10/2020,Gia Lai,33,25,Mostly Cloudy,27.63
20/10/2020,Gia Lai,30,25,Mostly Cloudy,28.14
21/10/2020,Gia Lai,29,25,Mostly Cloudy,28.47
22/10/2020,Gia Lai,30,23,Mostly Cloudy,28.47
23/10/2020,Gia Lai,29,23,Mostly Cloudy,28.47
24/10/2020,Gia Lai,30,23,Mostly Cloudy,28.47
25/10/2020,Gia Lai,30,24,Mostly Cloudy,28.49
26/10/2020,Gia Lai,30,25,Mostly Cloudy,28.49
27/10/2020,Gia Lai,28,23,Mostly Cloudy,34.06
28/10/2020,Gia Lai,28,22,Mostly Cloudy,38.91
29/10/2020,Gia Lai,30,25,Mostly Cloudy,38.91
30/10/2020,Gia Lai,30,25,Mostly Cloudy,38.93
31/10/2020,Gia Lai,28,25,Mostly Cloudy,39.29
01/09/2020,Gia Lai,33,26,Mostly Cloudy,0.0
02/09/2020,Gia Lai,33,26,Mostly Cloudy,0.1
03/09/2020,Gia Lai,33,26,Mostly Cloudy,0.1
04/09/2020,Gia Lai,33,27,Mostly Cloudy,0.12
05/09/2020,Gia Lai,34,26,Mostly Cloudy,0.12
06/09/2020,Gia Lai,35,26,Mostly Cloudy,0.12
07/09/2020,Gia Lai,36,27,Mostly Cloudy,0.12
08/09/2020,Gia Lai,34,27,Mostly Cloudy,0.12
09/09/2020,Gia Lai,33,27,Mostly Cloudy,0.12
10/09/2020,Gia Lai,33,26,Mostly Cloudy,0.12
11/09/2020,Gia Lai,33,26,Mostly Cloudy,0.12
12/09/2020,Gia Lai,33,26,Mostly Cloudy,0.12
13/09/2020,Gia Lai,33,26,Mostly Cloudy,0.12
14/09/2020,Gia Lai,33,26,Mostly Cloudy,0.12
15/09/2020,Gia Lai,34,26,Mostly Cloudy,0.12
16/09/2020,Gia Lai,34,27,Mostly Cloudy,0.15
17/09/2020,Gia Lai,31,25,Mostly Cloudy,1.85
18/09/2020,Gia Lai,32,25,Mostly Cloudy,4.16
19/09/2020,Gia Lai,31,25,Mostly Cloudy,7.44
20/09/2020,Gia Lai,33,26,Mostly Cloudy,7.44
21/09/2020,Gia Lai,32,26,Mostly Cloudy,7.44
22/09/2020,Gia Lai,32,26,Mostly Cloudy,7.44
23/09/2020,Gia Lai,33,26,Mostly Cloudy,7.44
24/09/2020,Gia Lai,32,26,Mostly Cloudy,7.49
25/09/2020,Gia Lai,34,26,Mostly Cloudy,7.62
26/09/2020,Gia Lai,32,26,Mostly Cloudy,7.64
27/09/2020,Gia Lai,31,26,Mostly Cloudy,7.82
28/09/2020,Gia Lai,31,26,Mostly Cloudy,7.82
29/09/2020,Gia Lai,33,25,Mostly Cloudy,7.82
30/09/2020,Gia Lai,34,26,Mostly Cloudy,7.84
01/08/2020,Gia Lai,31,25,Rain,2.23
02/08/2020,Gia Lai,35,28,Rain,2.23
03/08/2020,Gia Lai,35,28,Rain,2.26
04/08/2020,Gia Lai,35,28,Rain,2.26
05/08/2020,Gia Lai,36,27,Rain,2.31
06/08/2020,Gia Lai,33,26,Rain,2.31
07/08/2020,Gia Lai,31,26,Rain,2.33
08/08/2020,Gia Lai,33,26,Rain,2.36
09/08/2020,Gia Lai,35,27,Rain,2.36
10/08/2020,Gia Lai,35,28,Rain,2.36
11/08/2020,Gia Lai,35,28,Rain,2.38
12/08/2020,Gia Lai,34,27,Rain,5.28
13/08/2020,Gia Lai,32,26,Rain,6.55
14/08/2020,Gia Lai,33,26,Rain,6.68
15/08/2020,Gia Lai,33,26,Rain,6.68
16/08/2020,Gia Lai,34,26,Rain,6.68
17/08/2020,Gia Lai,34,26,Rain,6.68
18/08/2020,Gia Lai,33,26,Rain,6.75
19/08/2020,Gia Lai,35,26,Rain,6.9
20/08/2020,Gia Lai,29,25,Rain,8.58
21/08/2020,Gia Lai,33,25,Rain,8.83
22/08/2020,Gia Lai,34,26,Rain,8.83
23/08/2020,Gia Lai,34,26,Rain,8.86
24/08/2020,Gia Lai,35,27,Rain,8.86
25/08/2020,Gia Lai,36,27,Rain,8.86
26/08/2020,Gia Lai,37,28,Rain,8.86
27/08/2020,Gia Lai,36,29,Rain,8.86
28/08/2020,Gia Lai,36,27,Rain,8.86
29/08/2020,Gia Lai,36,27,Rain,8.86
30/08/2020,Gia Lai,35,26,Rain,9.16
31/08/2020,Gia Lai,35,26,Rain,10.05
01/07/2020,Gia Lai,34,27,Mostly Cloudy,0.02
02/07/2020,Gia Lai,35,26,Mostly Cloudy,0.07
03/07/2020,Gia Lai,33,26,Mostly Cloudy,1.14
04/07/2020,Gia Lai,35,27,Mostly Cloudy,1.19
05/07/2020,Gia Lai,34,27,Mostly Cloudy,1.19
06/07/2020,Gia Lai,33,26,Mostly Cloudy,1.19
07/07/2020,Gia Lai,33,27,Mostly Cloudy,1.19
08/07/2020,Gia Lai,34,27,Mostly Cloudy,1.19
09/07/2020,Gia Lai,35,26,Mostly Cloudy,1.19
10/07/2020,Gia Lai,35,27,Mostly Cloudy,1.19
11/07/2020,Gia Lai,35,27,Mostly Cloudy,1.19
12/07/2020,Gia Lai,35,27,Mostly Cloudy,1.19
13/07/2020,Gia Lai,33,27,Mostly Cloudy,1.19
14/07/2020,Gia Lai,35,27,Mostly Cloudy,1.19
15/07/2020,Gia Lai,33,26,Mostly Cloudy,1.19
16/07/2020,Gia Lai,33,27,Mostly Cloudy,1.19
17/07/2020,Gia Lai,33,26,Mostly Cloudy,1.19
18/07/2020,Gia Lai,33,27,Mostly Cloudy,1.19
19/07/2020,Gia Lai,34,26,Mostly Cloudy,1.19
20/07/2020,Gia Lai,33,27,Mostly Cloudy,1.19
21/07/2020,Gia Lai,32,26,Mostly Cloudy,1.19
22/07/2020,Gia Lai,33,26,Mostly Cloudy,1.19
23/07/2020,Gia Lai,32,26,Mostly Cloudy,1.19
24/07/2020,Gia Lai,32,26,Mostly Cloudy,1.19
25/07/2020,Gia Lai,33,26,Mostly Cloudy,1.19
26/07/2020,Gia Lai,33,27,Mostly Cloudy,1.19
27/07/2020,Gia Lai,34,27,Mostly Cloudy,1.19
28/07/2020,Gia Lai,34,27,Mostly Cloudy,1.19
29/07/2020,Gia Lai,35,26,Mostly Cloudy,1.21
30/07/2020,Gia Lai,35,26,Mostly Cloudy,1.32
31/07/2020,Gia Lai,32,26,Mostly Cloudy,2.71
01/06/2020,Gia Lai,34,27,Mostly Cloudy,0.0
02/06/2020,Gia Lai,34,27,Mostly Cloudy,0.07
03/06/2020,Gia Lai,33,27,Mostly Cloudy,0.07
04/06/2020,Gia Lai,34,27,Mostly Cloudy,0.1
05/06/2020,Gia Lai,35,27,Mostly Cloudy,0.1
06/06/2020,Gia Lai,35,27,Mostly Cloudy,0.1
07/06/2020,Gia Lai,36,27,Mostly Cloudy,0.1
08/06/2020,Gia Lai,36,27,Mostly Cloudy,0.1
09/06/2020,Gia Lai,35,27,Mostly Cloudy,0.1
10/06/2020,Gia Lai,33,27,Mostly Cloudy,0.1
11/06/2020,Gia Lai,33,27,Mostly Cloudy,0.1
12/06/2020,Gia Lai,34,27,Mostly Cloudy,0.22
13/06/2020,Gia Lai,36,27,Mostly Cloudy,0.5
14/06/2020,Gia Lai,34,27,Mostly Cloudy,0.78
15/06/2020,Gia Lai,32,27,Mostly Cloudy,0.99
16/06/2020,Gia Lai,32,26,Mostly Cloudy,1.16
17/06/2020,Gia Lai,33,26,Mostly Cloudy,1.24
18/06/2020,Gia Lai,35,27,Mostly Cloudy,1.24
19/06/2020,Gia Lai,34,27,Mostly Cloudy,1.24
20/06/2020,Gia Lai,33,27,Mostly Cloudy,1.24
21/06/2020,Gia Lai,34,27,Mostly Cloudy,1.24
22/06/2020,Gia Lai,34,27,Mostly Cloudy,1.24
23/06/2020,Gia Lai,35,27,Mostly Cloudy,1.24
24/06/2020,Gia Lai,35,27,Mostly Cloudy,1.24
25/06/2020,Gia Lai,35,27,Mostly Cloudy,1.24
26/06/2020,Gia Lai,34,27,Mostly Cloudy,1.24
27/06/2020,Gia Lai,33,27,Mostly Cloudy,1.24
28/06/2020,Gia Lai,33,26,Mostly Cloudy,1.24
29/06/2020,Gia Lai,33,27,Mostly Cloudy,1.29
30/06/2020,Gia Lai,32,24,Mostly Cloudy,1.47
01/05/2020,Gia Lai,31,25,Mostly Cloudy,0.05
02/05/2020,Gia Lai,31,25,Mostly Cloudy,0.07
03/05/2020,Gia Lai,32,26,Mostly Cloudy,0.1
04/05/2020,Gia Lai,32,26,Mostly Cloudy,0.1
05/05/2020,Gia Lai,32,26,Mostly Cloudy,0.1
06/05/2020,Gia Lai,33,26,Mostly Cloudy,0.1
07/05/2020,Gia Lai,33,26,Mostly Cloudy,0.1
08/05/2020,Gia Lai,34,27,Mostly Cloudy,0.1
09/05/2020,Gia Lai,33,27,Mostly Cloudy,0.1
10/05/2020,Gia Lai,33,26,Mostly Cloudy,0.1
11/05/2020,Gia Lai,32,26,Mostly Cloudy,0.1
12/05/2020,Gia Lai,32,26,Mostly Cloudy,0.1
13/05/2020,Gia Lai,32,26,Mostly Cloudy,0.1
14/05/2020,Gia Lai,32,26,Mostly Cloudy,0.2
15/05/2020,Gia Lai,32,25,Mostly Cloudy,0.2
16/05/2020,Gia Lai,33,27,Mostly Cloudy,0.2
17/05/2020,Gia Lai,33,28,Mostly Cloudy,0.2
18/05/2020,Gia Lai,34,28,Mostly Cloudy,0.22
19/05/2020,Gia Lai,34,28,Mostly Cloudy,0.25
20/05/2020,Gia Lai,34,28,Mostly Cloudy,0.25
21/05/2020,Gia Lai,35,26,Mostly Cloudy,0.25
22/05/2020,Gia Lai,36,28,Mostly Cloudy,0.25
23/05/2020,Gia Lai,35,28,Mostly Cloudy,0.3
24/05/2020,Gia Lai,35,28,Mostly Cloudy,0.3
25/05/2020,Gia Lai,35,28,Mostly Cloudy,0.3
26/05/2020,Gia Lai,36,28,Mostly Cloudy,0.43
27/05/2020,Gia Lai,35,27,Mostly Cloudy,0.43
28/05/2020,Gia Lai,33,26,Mostly Cloudy,0.45
29/05/2020,Gia Lai,32,26,Mostly Cloudy,0.45
30/05/2020,Gia Lai,34,27,Mostly Cloudy,0.45
31/05/2020,Gia Lai,33,27,Mostly Cloudy,0.45
01/04/2020,Gia Lai,31,26,Partly Cloudy,0.0
02/04/2020,Gia Lai,31,25,Partly Cloudy,0.0
03/04/2020,Gia Lai,31,26,Partly Cloudy,0.0
04/04/2020,Gia Lai,32,26,Partly Cloudy,0.02
05/04/2020,Gia Lai,32,26,Partly Cloudy,0.1
06/04/2020,Gia Lai,31,25,Partly Cloudy,0.1
07/04/2020,Gia Lai,30,25,Partly Cloudy,0.35
08/04/2020,Gia Lai,31,25,Partly Cloudy,0.35
09/04/2020,Gia Lai,31,25,Partly Cloudy,0.35
10/04/2020,Gia Lai,32,25,Partly Cloudy,0.38
11/04/2020,Gia Lai,31,25,Partly Cloudy,0.38
12/04/2020,Gia Lai,31,25,Partly Cloudy,2.18
13/04/2020,Gia Lai,27,23,Partly Cloudy,7.08
14/04/2020,Gia Lai,27,23,Partly Cloudy,8.33
15/04/2020,Gia Lai,29,24,Partly Cloudy,8.35
16/04/2020,Gia Lai,30,24,Partly Cloudy,8.38
17/04/2020,Gia Lai,30,24,Partly Cloudy,8.4
18/04/2020,Gia Lai,31,25,Partly Cloudy,8.58
19/04/2020,Gia Lai,31,25,Partly Cloudy,8.58
