,article_link,headline,posted_at,is_sarcastic
59,https://babylonbee.com/news/psaki-says-biden-is-so-fit-he-has-achieved-resting-heart-rate-of-zero,Psaki Says Biden Is So Incredibly Fit He Has Achieved Resting Heart Rate Of Zero,"May 25th, 2021",1
60,https://babylonbee.com/news/local-christian-parents-pay-university-100000-to-totally-destroy-18-years-of-their-hard-work,"Local Christian Parents Pay University $100,000 To Totally Destroy 18 Years Of Their Hard Work","May 25th, 2021",1
61,https://babylonbee.com/news/social-media-companies-remind-users-they-can-be-banned-for-saying-anything-false-or-anything-too-true,Social Media Companies Remind Users They Can Be Banned For Saying Anything False Or Anything Too True,"May 25th, 2021",1
62,https://babylonbee.com/news/after-world-realizes-he-was-right-about-everything-alex-jones-appointed-as-new-head-of-cdc,"After World Realizes He Was Right About Everything, Alex Jones Appointed As New Head Of CDC","May 25th, 2021",1
63,https://babylonbee.com/news/racial-division-will-never-go-away-reports-news-organization-financially-dependent-on-racial-division,"‘Racial Division Will Never Go Away,’ Reports News Organization That Is Financially Dependent On Racial Division","May 25th, 2021",1
64,https://babylonbee.com/news/9-ways-for-your-church-to-become-less-white,9 Easy Ways For Your Church To Be Less White,"May 25th, 2021",1
65,https://babylonbee.com/news/john-cena-apologizes-to-china-by-body-slamming-an-uighur-muslim,John Cena Apologizes To China By Body-Slamming A Uighur Muslim,"May 25th, 2021",1
66,https://babylonbee.com/news/7-promising-republican-candidates-who-need-to-run-in-2024,10 Promising Republican Candidates For 2024,"May 24th, 2021",1
67,https://babylonbee.com/news/cdc-introduces-new-anti-virus-hat-for-concerned-liberals-to-wear,CDC Introduces New Anti-Virus Hat For Concerned Liberals To Wear,"May 24th, 2021",1
68,https://babylonbee.com/news/you-will-always-remember-this-as-the-day-you-almost-vaccinated-rand-paul-shouts-congressman-while-escaping-capitol-police-via-schooner,'You Will Always Remember This As The Day You Almost Vaccinated Rand Paul!' Shouts Senator While Escaping Capitol Police Via Schooner,"May 24th, 2021",1
69,https://babylonbee.com/news/50-year-old-with-arthritis-proves-once-and-for-all-that-golf-is-not-a-sport,"50-Year-Old With Arthritis Wins PGA, Proudly Proves Once And For All That Golf Is Not A Sport","May 24th, 2021",1
70,https://babylonbee.com/news/deranged-psychopath-seen-putting-mask-on-a-toddler,Deranged Psychopath Seen Putting Mask On A Toddler,"May 24th, 2021",1
71,https://babylonbee.com/news/ilhan-omar-says-antisemitism-wouldnt-be-a-problem-if-we-got-rid-of-all-jews,Ilhan Omar: 'Antisemitism Wouldn't Be A Problem If We Got Rid Of All The Jews',"May 24th, 2021",1
72,https://babylonbee.com/news/pathetic-excuse-for-a-progressive-hasnt-even-eaten-a-cicada-yet,Pathetic Excuse For An Environmentalist Hasn’t Even Eaten A Cicada Yet,"May 24th, 2021",1
73,https://babylonbee.com/news/palestinians-calls-for-an-israeli-cease-to-exist-fire,Hamas Calls For An Israeli ‘Cease-To-Exist-Fire’,"May 22nd, 2021",1
74,https://babylonbee.com/news/romance-your-wife-with-these-8-easy-tips-from-the-love-experts-at-the-babylon-bee,Romance Your Wife With These 8 Easy Tips From The Love Experts At The Babylon Bee,"May 21st, 2021",1
75,https://babylonbee.com/news/texas-passes-law-allowing-students-to-lasso-teachers-who-promote-critical-race-theory-drive-them-out-of-town,"Texas Passes Law Allowing Students To Lasso Teachers Who Promote Critical Race Theory, Drive Them Out Of Town","May 21st, 2021",1
76,https://babylonbee.com/news/lori-lightfoot-flees-in-terror-after-thomas-sowell-takes-her-up-on-offer-for-black-people-to-interview-her,Lori Lightfoot Flees In Terror After Thomas Sowell Takes Her Up On Offer For Black People To Interview Her,"May 21st, 2021",1
77,https://babylonbee.com/news/my-precioooooous-hisses-liberal-tightly-clutching-mask-in-dark-cave,'They Will Never Take The Precious From Us!' Hisses Democrat Tightly Clutching Mask,"May 21st, 2021",1
78,https://babylonbee.com/news/in-honor-of-pride-month-lego-introduces-sodom-and-gomorrah-playset,"In Honor Of Pride Month, Lego Introduces Sodom And Gomorrah Playset","May 21st, 2021",1
79,https://babylonbee.com/news/democrats-worry-of-dark-future-where-they-cant-murder-children-for-being-inconvenient,Democrats Worry Of Dark Future Where They Can't Murder Children For Being Inconvenient,"May 21st, 2021",1
80,https://babylonbee.com/news/the-babylon-bee-guide-to-critical-race-theory,The Babylon Bee Guide To Critical Race Theory,"May 21st, 2021",1
81,https://babylonbee.com/news/tom-cruise-makes-desperate-plea-to-get-fans-back-in-theaters-im-down-to-my-last-100-million,Tom Cruise Makes Desperate Plea To Get People Back To Theaters: 'I'm Down To My Last $100 Million',"May 21st, 2021",1
82,https://babylonbee.com/news/lego-unveils-new-genderless-bricks-with-no-malefemale-connectors,LEGO Unveils New Genderless Bricks With No Male/Female Connectors,"May 20th, 2021",1
83,https://babylonbee.com/news/survey-finds-100-of-people-will-still-be-wearing-masks-in-walmart-bathrooms,Survey Finds 100% Of Americans Will Continue To Wear Masks In Walmart Bathrooms,"May 20th, 2021",1
84,https://babylonbee.com/news/conservative-plasters-walls-with-posters-of-aoc-so-he-can-constantly-remind-himself-how-much-he-hates-her,Conservative Plasters Walls With Posters Of AOC So He Can Constantly Remind Himself How Much He Hates Her,"May 20th, 2021",1
85,https://babylonbee.com/news/laid-off-american-construction-workers-dress-up-as-russians-in-hopes-of-getting-job-on-new-russian-pipeline,Laid-Off American Construction Workers Dress Up As Russians In Hopes Of Getting Job On New Russian Pipeline,"May 20th, 2021",1
86,https://babylonbee.com/news/in-solidarity-with-hamas-aoc-straps-on-palestinian-children-to-protect-herself-from-attack,"In Solidarity With Hamas, AOC Straps Some Palestinian Children On To Defend Herself From Attacks","May 20th, 2021",1
87,https://babylonbee.com/news/hasbro-releases-new-version-of-operation-where-players-just-keep-putting-more-masks-on-the-patient,Hasbro Releases New Version Of 'Operation' Where Players Just Keep Adding More Masks,"May 20th, 2021",1
88,https://babylonbee.com/news/the-babylon-bee-guide-to-gen-z-slang,The Babylon Bee Guide To Gen Z Slang,"May 20th, 2021",1
89,https://babylonbee.com/news/to-cut-out-the-middleman-israel-and-palestine-launch-giant-sacks-of-american-tax-dollars-at-each-other,Cutting Out The Middleman: Middle Eastern Countries Will Now Just Lob Giant Sacks Of American Tax Dollars At Each Other,"May 20th, 2021",1
90,https://babylonbee.com/news/blm-deploys-rioters-to-gaza-to-protest-israel-by-burning-down-palestinian-businesses,BLM Sends Rioters To Gaza To Protest Israel By Burning Down Palestinian Businesses,"May 19th, 2021",1
91,https://babylonbee.com/news/spacex-introduces-new-reusable-rocket-that-israel-and-hamas-can-fire-back-and-forth,SpaceX Introduces New Reusable Rockets That Israel And Hamas Can Fire Back And Forth,"May 19th, 2021",1
92,https://babylonbee.com/news/existing-and-6-other-things-you-didnt-know-were-actually-microaggressions,"Existing, And 6 Other Things You Didn't Know Were Microaggressions","May 19th, 2021",1
93,https://babylonbee.com/news/kevin-max-comes-out-as-spiritual-but-not-religious-freak,DC Talk's Kevin Max Comes Out As A 'Spiritual-But-Not-Religious Freak',"May 19th, 2021",1
94,https://babylonbee.com/news/reporter-stuck-to-bidens-grill-asks-follow-up-question,Reporter Stuck To Biden's Grille Asks Follow-Up Question,"May 19th, 2021",1
95,https://babylonbee.com/news/adam-and-eve-kicked-out-of-garden-of-eden-for-having-only-two-genders,Adam And Eve Kicked Out Of Garden Of Eden For Having Only Two Genders,"May 19th, 2021",1
96,https://babylonbee.com/news/they-wont-make-fun-of-me-ever-again-says-dr-fauci-while-designing-new-virus-in-his-lab,"‘They Won’t Make Fun Of Me Ever Again,’ Says Dr. Fauci While Designing New Virus In His Lab","May 19th, 2021",1
97,https://babylonbee.com/news/do-you-have-to-wear-a-mask-a-handy-flowchart,Do You Have To Wear A Mask? A Handy Flowchart,"May 19th, 2021",1
98,https://babylonbee.com/news/satan-announces-masks-will-still-be-required-in-hell,Satan Announces Masks Will Still Be Required In Hell,"May 18th, 2021",1
99,https://babylonbee.com/news/navy-fighters-shoot-down-hostile-ufo-after-it-refuses-to-give-its-pronouns,Navy Fighters Shoot Down Hostile UFO After It Refuses To Give Its Pronouns,"May 18th, 2021",1
100,https://babylonbee.com/news/the-bee-explains-what-is-antifa,The Bee Explains: What Is Antifa?,"May 18th, 2021",1
101,https://babylonbee.com/news/israel-to-buy-weapons-from-america-with-money-given-to-them-by-america-to-shoot-down-iranian-rockets-paid-for-by-america,Israel To Buy Weapons From America With Money Given To Them By America To Shoot Down Iranian Rockets Paid For By America,"May 18th, 2021",1
102,https://babylonbee.com/news/republicans-propose-cheaper-medicare-for-al,Republicans Propose Cheaper 'Medicare For Al',"May 18th, 2021",1
103,https://babylonbee.com/news/kids-demand-in-person-learning-so-they-wont-have-to-keep-explaining-math-to-their-parents,Kids Demand In-Person Learning So They Won't Have To Keep Explaining Math To Their Parents,"May 18th, 2021",1
104,https://babylonbee.com/news/biden-hamas-is-just-an-idea,Biden: 'Hamas Is Just An Idea',"May 18th, 2021",1
105,https://babylonbee.com/news/nation-trying-to-remember-what-happened-100-days-ago-when-all-these-crises-started,Nation Trying To Remember What Happened Around 100 Days Ago When All These Crises Started,"May 18th, 2021",1
106,https://babylonbee.com/news/latest-science-now-says-we-all-must-wear-masks-to-prevent-global-warming,Latest Science Now Says We All Must Wear Masks To Prevent Global Warming,"May 17th, 2021",1
107,https://babylonbee.com/news/musket-wielding-americans-chase-prince-harry-from-the-country,Musket-Wielding Americans Chase Prince Harry Out Of The Country,"May 17th, 2021",1
108,https://babylonbee.com/news/microsoft-launches-investigation-into-bill-gates-affair-with-cortana,Bill Gates Admits To Long-Running Affair With Cortana,"May 17th, 2021",1
109,https://babylonbee.com/news/joel-osteen-unveils-new-ultra-thin-yacht-that-can-fit-through-the-eye-of-a-needle,Joel Osteen Unveils New Ultra-Thin Yacht That Can Fit Through The Eye Of A Needle,"May 17th, 2021",1
110,https://babylonbee.com/news/roadrunner-condemned-for-disproportionate-use-of-force-against-coyote,Roadrunner Condemned For Disproportionate Use Of Force Against Coyote,"May 17th, 2021",1
111,https://babylonbee.com/news/cute-this-idiot-kid-just-blew-200-dandelion-seeds-all-over-your-perfect-lawn,4-Year-Old Moron Blows Dandelion Seeds All Over Perfect Lawn,"May 17th, 2021",1
112,https://babylonbee.com/news/luke-skywalker-condemned-for-blowing-up-associated-press-office-located-on-death-star,Luke Skywalker Condemned For Blowing Up Associated Press Office Located On Death Star,"May 17th, 2021",1
113,https://babylonbee.com/news/democrats-wearing-binkies-to-wean-themselves-off-masks,Democrats Wearing Binkies To Wean Themselves Off Masks,"May 17th, 2021",1
114,https://babylonbee.com/news/eight-warning-signs-you-might-be-sharing-office-space-with-terrorists,Eight Warning Signs You Might Be Sharing Office Space With Terrorists,"May 16th, 2021",1
115,https://babylonbee.com/news/media-condemns-israel-for-unprovoked-attack-on-innocent-hamas-rockets,Media Condemns Israel For Unprovoked Attack On Innocent Hamas Rockets,"May 15th, 2021",1
116,https://babylonbee.com/news/oops-ap-reporter-forgets-to-remove-hamas-headband-before-going-live,Oops! AP Reporter Forgets To Remove Hamas Headband Before Going Live,"May 15th, 2021",1
117,https://babylonbee.com/news/on-racist-ok-sign-deaf-community-remains-suspiciously-silent,"On Racist 'OK' Sign, Deaf Community Remains Suspiciously Silent","May 15th, 2021",1
118,https://babylonbee.com/news/china-lands-alluring-female-mars-rover-to-steal-secrets-from-nasa-rover,China Lands Alluring Female Mars Rover To Steal Secrets From NASA Rover,"May 15th, 2021",1
119,https://babylonbee.com/news/libertarians-to-begin-wearing-masks-now-that-government-says-they-dont-have-to,Libertarians To Begin Wearing Masks Now That Government Says They Don't Have To,"May 14th, 2021",1
120,https://babylonbee.com/news/vaccine-incentives-for-all-50-states,Here Are The Vaccine Incentives Being Offered In Each Of The 50 States,"May 14th, 2021",1
121,https://babylonbee.com/news/antifa-switches-to-throwing-molotov-mocktails-during-gas-crisis,"Amid Gasoline Shortage, Antifa Switches To Molotov Mocktails","May 14th, 2021",1
122,https://babylonbee.com/news/people-still-wearing-masks-to-be-locked-away-for-being-dangerous-lunatics,Dangerous Anti-Science Conspiracy Theorists To Continue Wearing Masks Outside,"May 14th, 2021",1
123,https://babylonbee.com/news/liberal-gets-mask-tattooed-on-his-face-so-no-one-will-mistake-him-for-one-of-those-idiot-republicans,Liberal Gets Mask Tattooed On His Face So No One Will Think He's One Of Those Crazy Republicans,"May 14th, 2021",1
124,https://babylonbee.com/news/dave-ramseys-wife-catches-him-looking-at-credit-card-applications-online,Dave Ramsey's Wife Catches Him Looking At Credit Card Applications,"May 14th, 2021",1
125,https://babylonbee.com/news/to-entice-new-yorkers-to-get-vaccinated-cuomo-offering-coupons-for-one-free-back-rub,"To Entice New Yorkers To Get Vaccinated, Cuomo Offering Coupon For Free Back Rub","May 14th, 2021",1
126,https://babylonbee.com/news/cdc-says-you-no-longer-have-to-wear-a-life-jacket-outside-in-case-of-rain,CDC Says You No Longer Have To Wear A Life Jacket Outside In Case Of Rain,"May 14th, 2021",1
127,https://babylonbee.com/news/nation-wishes-someone-would-have-warned-them-about-dangers-of-unchecked-government-power,Nation Wishes Someone Would Have Warned Them About Dangers Of Unchecked Government Power,"May 13th, 2021",1
128,https://babylonbee.com/news/middle-easterners-run-for-bomb-shelters-after-learning-us-suffering-oil-shortage,Middle Easterners Run For Bomb Shelters After Learning U.S. Suffering Oil Shortages,"May 13th, 2021",1
129,https://babylonbee.com/news/what-a-great-set-by-our-worship-team-says-pastor-after-horrible-set-by-worship-team,"'What A Great Set By Our Worship Team,' Says Pastor After Horrible Set By Worship Team","May 13th, 2021",1
130,https://babylonbee.com/news/amid-inflation-crisis-little-caesars-unveils-new-50000-hot-n-ready,"Amid Inflation Crisis, Little Caesars Unveils New $50,000 Hot-N-Ready","May 13th, 2021",1
131,https://babylonbee.com/news/kamala-harris-starting-to-worry-biden-will-fully-destroy-america-before-she-even-gets-a-chance,Kamala Harris Starting To Worry Biden Will Fully Destroy America Before She Even Gets A Chance,"May 13th, 2021",1
132,https://babylonbee.com/news/army-announces-dog-tags-will-now-list-name-rank-pronouns,Army Dog Tags Will Now List Soldier's Pronouns,"May 13th, 2021",1
133,https://babylonbee.com/news/dick-cheney-invites-trump-on-reconciliatory-hunting-trip,Dick Cheney Invites Trump On Reconciliatory Hunting Trip,"May 13th, 2021",1
134,https://babylonbee.com/news/dont-be-a-sexist-here-are-10-advantages-to-lady-preachers,Don't Be A Sexist: Here Are 9 Huge Advantages Of Lady Preachers,"May 13th, 2021",1
135,https://babylonbee.com/news/psaki-reassures-inflation-completely-under-control-outside-of-food-gas-and-housing,"Psaki Reassures: ‘Inflation Completely Under Control Outside Of Food, Gas, And Housing’","May 12th, 2021",1
136,https://babylonbee.com/news/carter-says-hes-finally-hopeful-that-he-wont-be-worst-presidential-failure-in-his-lifetime,Carter Says He’s Finally Hopeful That He Won’t Be Worst Presidential Failure In His Lifetime,"May 12th, 2021",1
137,https://babylonbee.com/news/whimsical-father-pretends-to-mishear-son-that-he-said-his-name-is-hungry-spreading-jocularity-to-all,"Whimsical Father Pretends To Mishear Son Saying His Name Is 'Hungry', Spreading Good Cheer To All","May 12th, 2021",1
138,https://babylonbee.com/news/biden-revealed-to-be-robot-human-suit-controlled-by-tiny-jimmy-carter,Biden Revealed To Be Robotic Human Suit Controlled By Tiny Jimmy Carter,"May 12th, 2021",1
139,https://babylonbee.com/news/tensions-rise-in-middle-east-as-one-side-wants-to-kill-jews-and-the-other-side-are-jews-who-dont-want-to-die-and-neither-will-compromise,Tensions Rise In Middle East As One Side Wants To Kill Jews And The Other Side Are Jews Who Don't Want To Die And Neither Will Compromise,"May 12th, 2021",1
140,https://babylonbee.com/news/border-crisis-worsens-as-bidens-new-cat-stands-at-gate-to-mexico-and-cant-decide-whether-to-go-in-or-out,Border Crisis Worsens As Biden's New Cat Stands At Gate To Mexico And Can't Decide Whether To Go In Or Out,"May 12th, 2021",1
141,https://babylonbee.com/news/biden-continues-rollback-of-trump-policies-like-peace-in-the-middle-east,Biden Continues Rollback Of Trump Policies Like Peace In The Middle East,"May 12th, 2021",1
142,https://babylonbee.com/news/planned-parenthood-celebrates-as-they-approach-their-10th-holocaust,Planned Parenthood Celebrates As They Approach Their 10th Holocaust,"May 12th, 2021",1
